location_id,zapmap_device_uid,power_band,device_max_power
6SO91US,ID_15182426,1. Slow,2760
LOPDTFA,ID_0C984898,1. Slow,2760
UTC0HJS,ID_277DEA93,1. Slow,2760
B4QJ4NO,ID_E6E37AD4,1. Slow,2990
Y9RMDL3,ID_ED902745,1. Slow,2990
0TKL7WW,ID_0EDE196B,1. Slow,2990
IB6QQPA,ID_A399B165,1. Slow,2990
XBRVSJC,ID_8808E135,1. Slow,2990
PFB578W,ID_FF52AE79,1. Slow,2990
SJB1VF3,ID_AE1A67C0,1. Slow,2990
5ROS0TN,ID_32053C3A,1. Slow,2990
L0ZXTH7,ID_F2D900E3,1. Slow,2990
1X2YO7F,ID_A15D114F,1. Slow,2990
4WY18BK,ID_47CCFF93,1. Slow,2990
EEMCJ4B,ID_09E38DE4,1. Slow,2990
FUBGFE2,ID_B832B82D,1. Slow,2990
F1WPXWN,ID_565C1B5B,1. Slow,2990
FG5TAM2,ID_605A5EA5,1. Slow,2990
MA7Q1J8,ID_ED863B6C,1. Slow,2990
DFOIBUC,ID_3DEA1722,1. Slow,2990
ZXQEQ39,ID_81C4D2B6,1. Slow,2990
PHZGIOB,ID_0567B233,1. Slow,2990
CWBOQVL,ID_00249812,1. Slow,2990
QSQXPYH,ID_802CCF3F,1. Slow,2990
3BIDAJN,ID_E5F77A88,1. Slow,2990
UV2ROC0,ID_9058B783,1. Slow,2990
21VYJEL,ID_23F8F4AB,1. Slow,2990
ODWKS26,ID_66D97740,1. Slow,2990
DKOYQ1H,ID_E3920C09,1. Slow,2990
TYH8QGQ,ID_CEEA6FFC,1. Slow,2990
DIBZXCO,ID_74E76B9D,1. Slow,2990
MGNPR2E,ID_35CC45A3,1. Slow,2990
YIPKKXU,ID_FB600B1B,1. Slow,2990
B7C34DG,ID_5E06BD37,1. Slow,2990
G3LJ2EE,ID_BB2236A9,1. Slow,2990
UH63K70,ID_B1CB9BBD,1. Slow,2990
QZWDIHO,ID_342DF8FC,1. Slow,2990
OUJOWY5,ID_711830FB,1. Slow,2990
I9VCVFF,ID_554FC87D,1. Slow,2990
AZLEGBC,ID_F52059C9,1. Slow,2990
B6P28WT,ID_9B3769FB,1. Slow,2990
KQE0OEV,ID_738AD02F,1. Slow,2990
V6L3QFH,ID_A1F681E0,1. Slow,2990
JPUH7UX,ID_82E2C0D1,1. Slow,2990
NN0XHAM,ID_9342EAB8,1. Slow,2990
Q7QLI9O,ID_67FE5077,1. Slow,2990
UFCFKTZ,ID_255F03B2,1. Slow,2990
CF8H4MK,ID_DA43CBC5,1. Slow,2990
SP6WAS9,ID_3AFB462F,1. Slow,2990
WFB1RKC,ID_5CB488CE,1. Slow,2990
7G7IFGW,ID_F8968304,1. Slow,2990
N9KGDIM,ID_83B5AB04,1. Slow,2990
77Q2Y6B,ID_DA605414,1. Slow,2990
9ZTBGJT,ID_AED23F0D,1. Slow,2990
CGIGX6C,ID_CC87A07C,1. Slow,2990
U0H3RB8,ID_596A63A8,1. Slow,2990
Y0KUZBY,ID_FD7AA1BE,1. Slow,2990
GXOODCM,ID_A8A9CD9B,1. Slow,2990
RMPXWWF,ID_E45E638F,1. Slow,2990
R5BBPZE,ID_E9FAEE64,1. Slow,2990
C4C1SHP,ID_CA1A6244,1. Slow,2990
XOODTK3,ID_F42EE54A,1. Slow,2990
4XDWVXD,ID_E9402673,1. Slow,2990
ZWITG8C,ID_D3C34815,1. Slow,2990
BJQX0TV,ID_CD89D70F,1. Slow,2990
SBCQHCV,ID_03135AE5,1. Slow,2990
JLW7KZH,ID_E071A7CF,1. Slow,2990
LXOJH1U,ID_3BD008BC,1. Slow,2990
JO3Z5LH,ID_25C60315,1. Slow,2990
MUARZHB,ID_40CB04D6,1. Slow,2990
EV7LQWW,ID_B454E0A4,1. Slow,2990
FPEIU5S,ID_AF871866,1. Slow,2990
BWGDJCE,ID_26F00F54,1. Slow,2990
MWNDVRZ,ID_EDE63624,1. Slow,2990
MAOP6KU,ID_3A81681E,1. Slow,2990
Z4XWPRI,ID_D7FAF9A2,1. Slow,2990
RLLXW0J,ID_D88AE8FE,1. Slow,2990
0HUIESW,ID_F4FC7106,1. Slow,2990
MRLMBLT,ID_73CF8360,1. Slow,2990
6RQIDNG,ID_E65014D2,1. Slow,2990
6EK2RXU,ID_6593FF45,1. Slow,2990
7RJPBWP,ID_FE45AEBC,1. Slow,2990
K1BCPBH,ID_F75CB8D1,1. Slow,2990
3NNCPPS,ID_9658086F,1. Slow,2990
F0G7PXM,ID_A86B5408,1. Slow,2990
ZR6RMU2,ID_C8E02DDB,1. Slow,2990
EBHPYR3,ID_ABAF5176,1. Slow,2990
U1S25F3,ID_A3E59F09,1. Slow,2990
9JM8FZE,ID_557B7210,1. Slow,2990
1XQW6WT,ID_F0C35B34,1. Slow,2990
P6DX45U,ID_3B42DF7E,1. Slow,2990
MY5Y9QJ,ID_7C537C53,1. Slow,2990
0BQZGWO,ID_1244D48F,1. Slow,2990
YL2E8N4,ID_1AEE0481,1. Slow,2990
VVRPCU6,ID_94013735,1. Slow,2990
ZLNBAWJ,ID_1088A717,1. Slow,2990
RXXCURR,ID_E1260B87,1. Slow,2990
62NEUWH,ID_95064271,1. Slow,2990
R4YBEKF,ID_B9BD3FFB,1. Slow,2990
ZKOEPTB,ID_C5F08007,1. Slow,2990
