uid,evse_uid,last_updated,status
ID_6AD677B7,ID_589998FA,2025-09-02 10:49:21,AVAILABLE
ID_1DD15B55,ID_8D510794,2025-09-19 07:05:48,AVAILABLE
ID_1CB9BD4F,ID_77CB9B26,2025-08-06 04:42:54,AVAILABLE
ID_AC03FCFC,ID_85A11C8D,2025-01-17 12:13:32,AVAILABLE
ID_778B59FB,ID_85A11C8D,2025-03-04 05:19:06,AVAILABLE
ID_5B11571B,ID_85A11C8D,2025-08-31 13:14:47,AVAILABLE
ID_777AFA83,ID_DD3F33DF,2025-01-22 00:09:46,AVAILABLE
ID_6D415FD8,ID_DD3F33DF,2025-09-06 00:06:30,AVAILABLE
ID_2CF5A23C,ID_E6B424B8,2025-06-21 23:36:28,AVAILABLE
ID_0700E579,ID_E6B424B8,2025-09-14 12:42:11,AVAILABLE
ID_DEADA059,ID_E6B424B8,2025-09-10 15:26:34,AVAILABLE
ID_680A4174,ID_E6B424B8,2025-07-29 19:41:07,AVAILABLE
ID_1055BC10,ID_E6B424B8,2025-06-08 09:05:10,AVAILABLE
ID_DDB253CF,ID_E6B424B8,2025-07-03 21:09:07,AVAILABLE
ID_445CB0E9,ID_E6B424B8,2025-08-07 20:56:31,AVAILABLE
ID_32E71E5A,ID_E6B424B8,2025-07-28 17:40:09,AVAILABLE
ID_9371874A,ID_E6B424B8,2025-07-11 23:36:31,AVAILABLE
ID_ED458DAD,ID_E6B424B8,2025-05-30 06:26:30,AVAILABLE
ID_73C04F71,ID_E6B424B8,2025-06-29 14:25:12,AVAILABLE
ID_E25A0EEB,ID_E6B424B8,2025-08-26 21:41:06,AVAILABLE
ID_FDB664C6,ID_E6B424B8,2025-07-27 16:36:29,AVAILABLE
ID_CEA4CEC9,ID_E6B424B8,2025-07-01 12:56:30,AVAILABLE
ID_B4E95863,ID_E6B424B8,2025-06-21 10:36:31,AVAILABLE
ID_50ED34D0,ID_E6B424B8,2025-08-19 16:06:32,AVAILABLE
ID_1C237BC4,ID_43472B19,2025-09-09 15:11:06,AVAILABLE
ID_C7BD6842,ID_A306829C,2025-03-18 18:40:29,AVAILABLE
ID_AD7EE7AB,ID_A306829C,2025-06-02 12:39:03,AVAILABLE
ID_2DDE202B,ID_398A0F3A,2025-07-24 14:14:09,AVAILABLE
ID_ED476CA5,ID_398A0F3A,2025-08-06 14:44:11,AVAILABLE
ID_4FAD438C,ID_E1AB5235,2025-05-11 19:01:31,AVAILABLE
ID_0A4E0AD3,ID_E1AB5235,2025-07-27 05:02:33,AVAILABLE
ID_E28DE9E0,ID_E1AB5235,2025-06-23 09:41:31,AVAILABLE
ID_91471451,ID_E1AB5235,2025-09-14 05:21:11,AVAILABLE
ID_13C87A6D,ID_E1AB5235,2025-05-31 00:21:29,AVAILABLE
ID_6B25F5DE,ID_E1AB5235,2025-09-16 06:05:55,AVAILABLE
ID_FD5990B2,ID_E1AB5235,2025-09-02 20:01:39,AVAILABLE
ID_529FBB45,ID_E1AB5235,2025-07-18 11:16:43,AVAILABLE
ID_EF6BD634,ID_E1AB5235,2025-09-08 04:36:04,AVAILABLE
ID_C303E24C,ID_E1AB5235,2025-09-19 06:21:09,AVAILABLE
ID_0D87D617,ID_E1AB5235,2025-08-03 02:20:54,AVAILABLE
ID_E566C279,ID_E1AB5235,2025-06-23 15:36:31,AVAILABLE
ID_BC8CE0C6,ID_63C7DA80,2025-08-30 02:06:30,AVAILABLE
ID_13BA6015,ID_63C7DA80,2025-09-18 01:16:30,AVAILABLE
ID_FBD0D1CB,ID_8369CB75,2025-03-28 07:29:15,AVAILABLE
ID_DABB171D,ID_8369CB75,2025-09-09 11:06:27,AVAILABLE
ID_8B8DEDEF,ID_B3E524FE,2025-02-08 01:56:01,AVAILABLE
ID_8A71B147,ID_B3E524FE,2025-06-29 15:50:14,AVAILABLE
ID_1DA9FAEA,ID_B3E524FE,2025-08-10 10:09:32,AVAILABLE
ID_F24EA35E,ID_B3E524FE,2025-07-04 19:56:05,AVAILABLE
ID_79755A67,ID_7486EDBE,2025-01-08 13:40:48,AVAILABLE
ID_FCC7B062,ID_7486EDBE,2025-06-07 14:43:19,AVAILABLE
ID_5AE00DB9,ID_7486EDBE,2025-05-13 17:54:29,AVAILABLE
