osm_id,highway,eligibility,x,y
31959,residential,fallback (untagged residential <500m),529177.0961509574,181889.23131150595
31959,residential,fallback (untagged residential <500m),529156.2365391139,181915.6853500661
2592180,residential,fallback (untagged residential <500m),530754.6176013061,181676.0849736345
2592180,residential,fallback (untagged residential <500m),530753.6038836024,181678.51811057172
2592180,residential,fallback (untagged residential <500m),530750.7208664598,181686.95661821967
2592180,residential,fallback (untagged residential <500m),530744.5192762333,181705.11324404564
2592180,residential,fallback (untagged residential <500m),530738.906637797,181724.66486668692
2599185,residential,fallback (untagged residential <500m),526077.1448025762,185610.0982721951
2599185,residential,fallback (untagged residential <500m),526079.1892996875,185610.44950573944
2599185,residential,fallback (untagged residential <500m),526082.880616399,185610.68587280542
2599185,residential,fallback (untagged residential <500m),526108.6230511547,185612.32698534464
2599185,residential,fallback (untagged residential <500m),526132.779309149,185616.6661369808
2599185,residential,fallback (untagged residential <500m),526155.9117186597,185623.96208818315
2599337,residential,fallback (untagged residential <500m),527151.87132505,183703.83156213426
2644235,residential,fallback (untagged residential <500m),529816.6744957011,181817.6915329481
2644235,residential,fallback (untagged residential <500m),529821.0193900416,181820.98505082243
2644235,residential,fallback (untagged residential <500m),529822.1569339947,181821.8375613006
2644235,residential,fallback (untagged residential <500m),529825.3330008567,181824.14424175525
2644235,residential,fallback (untagged residential <500m),529867.7071643778,181855.11599740875
2644766,residential,fallback (untagged residential <500m),529872.8854080879,181859.20979812933
2644766,residential,fallback (untagged residential <500m),529869.8224180915,181863.61593913235
2644766,residential,fallback (untagged residential <500m),529866.7747294229,181867.96683474455
2644766,residential,fallback (untagged residential <500m),529862.9676812297,181872.96598058345
2644766,residential,fallback (untagged residential <500m),529824.4545657103,181926.44034634746
2687382,residential,fallback (untagged residential <500m),529687.3215722226,184653.39488426765
2687382,residential,fallback (untagged residential <500m),529693.7866837139,184661.0489844543
2876551,residential,fallback (untagged residential <500m),529915.2103969308,181654.51965508686
2876551,residential,fallback (untagged residential <500m),529868.0892562727,181620.71109991556
3076841,residential,fallback (untagged residential <500m),531154.3739701497,182039.12666212855
3076841,residential,fallback (untagged residential <500m),531153.8911337105,182040.08231191942
3088642,residential,fallback (untagged residential <500m),530725.7604397325,182264.14313837112
3097584,residential,fallback (untagged residential <500m),530058.9307621818,182218.55158336618
3097584,residential,fallback (untagged residential <500m),530072.3185964295,182224.06871177146
3097584,residential,fallback (untagged residential <500m),530115.1769354611,182242.18044464797
3097584,residential,fallback (untagged residential <500m),530117.0377733544,182242.97365975357
3097584,residential,fallback (untagged residential <500m),530123.4593728194,182245.38592966244
3098814,residential,fallback (untagged residential <500m),530642.8739687974,182448.3889440167
3098814,residential,fallback (untagged residential <500m),530638.3746825325,182460.04635343794
3098816,residential,fallback (untagged residential <500m),530450.848394668,182544.94971014583
3128255,residential,fallback (untagged residential <500m),530010.4947762957,182518.70433364942
3128255,residential,fallback (untagged residential <500m),530006.1155844148,182515.96612497483
3128255,residential,fallback (untagged residential <500m),530005.057202885,182515.2825054502
3128255,residential,fallback (untagged residential <500m),529985.0515211867,182501.22817398864
3128255,residential,fallback (untagged residential <500m),529969.0985534302,182489.64780806634
3128349,residential,fallback (untagged residential <500m),529918.5502773802,182548.0990810673
3128349,residential,fallback (untagged residential <500m),529921.1497677779,182544.7048684411
3128349,residential,fallback (untagged residential <500m),529922.1792407298,182543.2623495378
3128349,residential,fallback (untagged residential <500m),529937.2124512843,182523.77289377217
3128349,residential,fallback (untagged residential <500m),529943.955043694,182513.89710413857
3241247,residential,fallback (untagged residential <500m),530607.3855302734,182298.18699709076
3241247,residential,fallback (untagged residential <500m),530635.134712377,182227.03775536147
3319517,residential,fallback (untagged residential <500m),530914.087825503,182572.70230932947
3319517,residential,fallback (untagged residential <500m),530909.9158532564,182568.94488769624
4016929,residential,fallback (untagged residential <500m),524350.9094185241,185480.44581062946
4016929,residential,fallback (untagged residential <500m),524419.9238775076,185503.83541372808
4016929,residential,fallback (untagged residential <500m),524581.4692288457,185559.51793374418
4016929,residential,fallback (untagged residential <500m),524680.6778879322,185447.01174741532
4016934,residential,fallback (untagged residential <500m),524440.6074463644,185222.6793088956
4043472,residential,fallback (untagged residential <500m),523975.5203633106,185515.75916111487
4043472,residential,fallback (untagged residential <500m),524006.4735085891,185538.93668907834
4043472,residential,fallback (untagged residential <500m),524032.9755427664,185559.17932172026
4043472,residential,fallback (untagged residential <500m),524076.62262950203,185592.5373867069
4043472,residential,fallback (untagged residential <500m),524095.9333731133,185607.29688033945
4043472,residential,fallback (untagged residential <500m),524110.66660669976,185617.4936221608
4043473,residential,fallback (untagged residential <500m),524058.67041860084,185395.358713836
4043473,residential,fallback (untagged residential <500m),524107.11647469783,185434.20872743428
4043473,residential,fallback (untagged residential <500m),524146.83543751703,185467.3934152419
4043473,residential,fallback (untagged residential <500m),524174.44061396754,185490.45670358546
4043474,residential,fallback (untagged residential <500m),524118.6738655542,185317.8784298583
4043474,residential,fallback (untagged residential <500m),524155.62627537677,185349.34866369283
4043474,residential,fallback (untagged residential <500m),524196.54959792434,185387.7595855646
4043474,residential,fallback (untagged residential <500m),524226.9687709457,185416.3109590037
4043476,residential,fallback (untagged residential <500m),524272.72832695226,185322.32707038632
4043476,residential,fallback (untagged residential <500m),524286.834222088,185335.50215605868
4043477,residential,fallback (untagged residential <500m),524489.1421489669,184883.3990161094
4043477,residential,fallback (untagged residential <500m),524539.129612966,184918.04026195634
4043477,residential,fallback (untagged residential <500m),524542.4031881168,184919.48922997713
4043477,residential,fallback (untagged residential <500m),524546.5916087118,184920.12610646634
4043477,residential,fallback (untagged residential <500m),524554.6592638149,184917.3197210051
4043477,residential,fallback (untagged residential <500m),524561.8157199121,184912.6327415051
4043477,residential,fallback (untagged residential <500m),524574.6241011947,184900.96306050447
4043478,residential,fallback (untagged residential <500m),524521.3860365693,184836.78798377956
4043478,residential,fallback (untagged residential <500m),524552.8313922484,184858.36737827433
4043478,residential,fallback (untagged residential <500m),524588.2898007924,184882.3488125215
