london_income_decile,n_lsoas,mean_income_score,baseline_demand_share,D_A_total,D_A_share,D_B_total,D_B_share,D_C_total,D_C_share,D_D_total,D_D_share
1,500,0.550432,0.07185604230825259,24944.876020582797,0.07185604230825259,26302.20309195693,0.07393357562056846,29016.857234705203,0.07780108456219513,31731.511377453473,0.08132745699299501
2,499,0.42864529058116235,0.08228512534625118,28565.33958960627,0.08228512534625118,29788.15931780328,0.08373234446637724,32233.798774197305,0.08642646872152157,34679.43823059133,0.08888295573729418
3,499,0.3716793587174349,0.08867989667510112,30785.288989182634,0.08867989667510112,31928.852200586552,0.08974967611636618,34215.97862339438,0.09174116358380367,36503.10504620221,0.09355699041379967
4,500,0.32539,0.09425749074402992,32721.554723742687,0.09425749074402992,33785.44046592341,0.09496841039621506,35913.21195028486,0.09629184915664543,38040.98343464632,0.0974985530141085
5,499,0.2829438877755511,0.0984405813275152,34173.71758487376,0.0984405813275152,35139.60524147654,0.09877486886990403,37071.38055468212,0.09939717420267487,39003.15586788769,0.09996458862941435
6,499,0.24062324649298597,0.10194719450686605,35391.040835656284,0.10194719450686605,36242.5681360927,0.1018752171673712,37945.62273696551,0.10174122509011273,39648.67733783832,0.10161905188396853
7,500,0.194814,0.10679671409307762,37074.554997464526,0.10679671409307762,37797.41906000351,0.10624578977529177,39243.147185081485,0.10522019624446118,40688.87531015947,0.10428506595596947
8,499,0.1512925851703407,0.11247238493910425,39044.868154713244,0.11247238493910425,39634.352922374135,0.11140927696108922,40813.32245769592,0.10943020900270137,41992.291993017716,0.10762570620969611
9,499,0.10699799599198398,0.11909902001358158,41345.3092179347,0.11909902001358158,41787.915051784104,0.11746278312525588,42673.12671948294,0.11441678585594386,43558.33838718176,0.1116394630476672
10,500,0.056514,0.12416555004622068,43104.15871004243,0.12416555004622068,43347.99619612747,0.12184805750156102,43835.67116829753,0.11753384357994012,44323.3461404676,0.113600168115087
