location_id,zapmap_device_uid,power_band,device_max_power
6SO91US,98ANCHF,1. Slow,2760
LOPDTFA,QYY5JSI,1. Slow,2760
UTC0HJS,2VEZNZJ,1. Slow,2760
B4QJ4NO,DLP3M40,1. Slow,2990
Y9RMDL3,YEU1W4B,1. Slow,2990
PFB578W,V9NX01Q,1. Slow,2990
SJB1VF3,7SBV9H7,1. Slow,2990
5ROS0TN,DFM6XFA,1. Slow,2990
DKOYQ1H,CPAODZ2,1. Slow,2990
KQE0OEV,R8BB2EF,1. Slow,2990
7G7IFGW,L9FDP7K,1. Slow,2990
C4C1SHP,DN67F0C,1. Slow,2990
BWGDJCE,LWOSKNO,1. Slow,2990
RXXCURR,VMTV1FA,1. Slow,2990
WEHHPEZ,P6IA9XP,1. Slow,2990
NXFKXOJ,HSCL9ER,1. Slow,2990
GR0MUYD,KQMHJL6,1. Slow,2990
K9WZ8VH,TZHXIDF,1. Slow,2990
KNCNOYG,LEJVYKN,1. Slow,2990
B50QB7P,DGU0UNX,1. Slow,2990
LF0TAIY,4CYH1T2,1. Slow,2990
QV6ZHWB,PRZ2VNP,1. Slow,2990
P9PKYGJ,CW07R0G,1. Slow,2990
CHQRXBB,VH8MJQF,1. Slow,2990
NGN3KUJ,MTYKNPP,1. Slow,2990
PCB8VIU,FV4UKP2,1. Slow,2990
SGNDSWI,GBP6PPZ,1. Slow,2990
4WUJ5WJ,99MAGDR,1. Slow,2990
BQWCXW0,5AR5BEH,1. Slow,2990
JOV3MU1,E6O3F78,1. Slow,2990
VLBBSKC,5DQAZBX,1. Slow,2990
N9MW1DF,R8N0IJI,1. Slow,2990
451XV8B,Y7JC0CE,1. Slow,2990
WNPMASO,2YZ1GC0,1. Slow,2990
M7W3KNT,1LW3LDC,1. Slow,2990
VLBZ7GY,JAP8YF7,1. Slow,2990
FVUYA5R,2HGQUG8,1. Slow,2990
TJES6GX,LRNJP6V,1. Slow,2990
FWUTBC8,O7MPMW1,1. Slow,2990
RTLUKCP,776OQ7K,1. Slow,2990
FGX65ES,LGHMQ7S,1. Slow,2990
O3LEJ7U,GMCFOER,1. Slow,2990
DYMHNNG,YZEWL5H,1. Slow,2990
FLA5NIK,P7566PN,1. Slow,2990
3UH1JT7,BRUP1PR,1. Slow,2990
MKDO79C,B3O1LUK,1. Slow,2990
985PSDX,F3IGLHA,1. Slow,3000
9PLE43Y,TGQPCRU,1. Slow,3000
1I1VNDG,CD24KGP,1. Slow,3000
MXZUCV3,IFZXDOT,1. Slow,3000
K9W5NMQ,PTV4S8W,1. Slow,3000
23QHJUW,WN18GK0,1. Slow,3000
A3M0VMM,B8VL4KE,1. Slow,3000
3FV8LBP,88KOKBH,1. Slow,3000
2Y6N0MY,7ITZ1PX,1. Slow,3000
R9YX6G5,DILUYR7,1. Slow,3000
23QHJUW,OG0WRIL,1. Slow,3000
960Z48U,NC3W1QM,1. Slow,3000
RJF1QVC,OLR93DX,1. Slow,3000
6UN85E9,19K8ZW0,1. Slow,3000
253N7YF,37WPRO9,1. Slow,3000
KCD3QHP,2T0WQ9X,1. Slow,3000
23QHJUW,ILN8JPE,1. Slow,3000
YCIEBOZ,3M2X0DZ,1. Slow,3000
RE3XA9U,61KSYO5,1. Slow,3000
TYZCK5S,ZAGHRNF,1. Slow,3000
73DWGCT,QFH3JTV,1. Slow,3000
A3M0VMM,9ZTNGGE,1. Slow,3000
AQ7BKO0,TJHML1Z,1. Slow,3000
FIN0E4R,4Y0IUKA,1. Slow,3000
VR6CENK,7ZI2GYM,1. Slow,3000
A3M0VMM,CPMFVKK,1. Slow,3000
KCD3QHP,760V29J,1. Slow,3000
RE3XA9U,2L9YPMZ,1. Slow,3000
6P738CE,HJK1TI8,1. Slow,3000
A3M0VMM,1EXC5NK,1. Slow,3000
6VY9RWW,8O0EP8B,1. Slow,3000
1AR9037,9P693ND,1. Slow,3000
8C7BLMO,7JK64IV,1. Slow,3000
