evse_uid,total_records,availability_rate,utilisation_rate
0001f0b862005b9b56f409ea583cd4fc,67,0.5075,0.4478
0002271b5e174a428d01e9847b69d195,376,0.4947,0.2154
0002729a6be20a87309637692e5a3af3,36,0.5,0.1667
0003081cf555fade0d74f080d8baa089,186,0.4839,0.2796
0003eb1b04bbe87d2a4bbd95ea85fbde,33,0.4848,0.1212
00042c18392908a766430f7474d24335,4,0.0,0.0
0004f37e27dd92341902542955bf8a6d,218,0.4771,0.4495
00060c5bdc07754065222530a5987345,269,0.4647,0.4238
0006d19497833bd0cf7067014cb425f8,632,0.4968,0.4905
0007804415dd5bf2c01750f4bf0c4938,364,0.4835,0.2857
000925f7703fcf52e7fa0863b70f5ebc,1902,0.5021,0.0231
000a7cf1b9ac14ea0233319c063e944c,4,0.0,0.0
000bd205b9894fcdb822c558e4d3c56e,33,0.0,0.0
001255f66bcb442fa81d8e7fdbec81ab,1655,0.4912,0.4882
0014281d23eb3143d5e1f14694da5c15,594,0.5017,0.17
00148e07cfa8a4cbd221933febb2fd38,74,0.4324,0.4865
0014c3c5ea538d037489601a829ca4e4,6620,0.4979,0.4949
0018a3b83ba6ba9082186cc882add8e6,170,0.4941,0.4941
0018bd049d0d872c0d7b85def2e14b1a,88,0.5,0.4091
0019fcda1b87983789d7066c1d1536d1,4,0.5,0.5
0021fb23f4d445398f13f14cb49481f0,228,0.4912,0.0789
00241415630776ed1bca11f78c82df4c,121,0.4876,0.4959
002496522a8ddbd5f9a712db85384997,124,0.5,0.0161
00260b6ed0f8841527b8c9236e2413a2,2,1.0,0.0
0027d823ec903cbb40dd077f6ec72335,1825,0.4838,0.451
002acee6d0fa407c902ddd20132f7af2,456,0.4912,0.4737
002ddbfa66fb5d366b547acda2a67a3e,4530,0.4996,0.4883
002dfc3ca220f489d756772315e00dcd,342,0.5058,0.2515
003181f8cb709f00a9b4927651f9358b,799,0.4881,0.3029
0031f503dfac4a8da44c0481c01a0f5c,847,0.4923,0.438
003975bd59118cff6718d30a0f2e7aa6,2,1.0,0.0
003eae27861f44a1a95ee1b028dcc740,127,0.4961,0.1575
003f827e64a34f9eb2ebeb5ac59bf548,250,0.496,0.128
003ffd7d594841d39eac3a58890aad90,4951,0.47,0.4401
00409989dae3f11fa6792548e8b08c5b,469,0.4712,0.4478
0046d6dacdd7ace11532e663548384d1,4630,0.4864,0.4998
004908e1f4b1008870b26a99208ae98a,161,0.5404,0.3727
004a18b29bf54d06b0a2b90e35cd367a,37,0.3514,0.2973
004a66185707df32133afd046f9b8ba7,280,0.5143,0.45
004bd57173ba61270b247884ce2919e2,130,0.5,0.4846
004c6e95b6a2d4c8d6a158e4957f709e,160,0.5,0.4625
004daeff7ca9419c9afc8edbdf89687b,6,0.5,0.1667
004e366e03861f50e9463172cbb38cb3,83,0.5181,0.3855
005a31c0d5baf0c601745a1f9516dec0,133,0.5038,0.3459
005dcded131948d2a45cdbb00e6ca308,230,0.4,0.3652
005e32bdc8c242c689b24630c4a436b6,181,0.4972,0.2652
00632fbe8c87ef8f6769aef42d6977be,220,0.4909,0.4818
006612b2fe012057df7976d4d722f542,2781,0.4804,0.2851
00669571a632eba8e383b38103f7a950,803,0.4707,0.3873
006bb349cf4c4b53ed59ab9a0d7cce91,303,0.462,0.1584
006e62c9047facf55e5eac83f85e68d7,21831,0.4709,0.3892
0074613a56b47f1b454c6d6c8d2e5d2a,275,0.4982,0.2327
0074c7221c36f0069190bf99c1594459,1023,0.4946,0.4976
0077d4cf3582b5da8695913920af9a8b,2,0.0,0.0
007d1a60e08d565ba45eae7a225d5ff9,40,0.5,0.15
00801b9e8be3495abed0b4fb42a0b5fb,576,0.4861,0.4861
00801c05fee145b610f374d6ceebef82,210,0.4952,0.2857
00856af02fcf02e339acd8f00cb2b62d,72,0.5,0.4722
0088b9dc079ea39c1b371d8a29c1b236,2,0.0,1.0
008acfb70f33159fea82f1fbb984de4c,378,0.4365,0.2487
008aed5ddb08a41272f77f032197de11,76,0.4737,0.3684
00923bf57075ee6db0a74ca5c1bc0203,37,0.5135,0.2162
00959402274414fd834c4f94372cd14a,188,0.5,0.4043
0095f55756b733dbe7756480f8dc7c01,365,0.4795,0.4849
0098b57feab0a2c68174b5292d25346c,2,1.0,0.0
009d19214b330455e667dbfdc4df347e,208,0.4423,0.375
009eccb39ace4831a1d9f704ad62cfbe,256,0.4688,0.4609
00a0126f70e147fea6bea0690ba0870c,959,0.4932,0.4755
00a14ff863894db4860eac6b2d441b41,1081,0.4949,0.4792
00a59eae6d78d36a3a281850086fe1de,154,0.5,0.4221
00a9df751bdf2121039e27180d207303,108,0.5,0.0
00abc450f6d5c1566edbffb6d143cb4b,558,0.4857,0.4839
00abf815674e44719f86fff1665720c8,483,0.4928,0.4079
00b0517379698abfe02e89ad97349aae,446,0.4574,0.0314
00b17458d77a72e0084f896ae419423c,40,0.45,0.4
00b239857bb149528ba4a18bada39eb6,242,0.4628,0.314
00b5ac03bddd8fda65acfc7f44f2e447,141,0.4184,0.3404
00b6b91f63ee23e043059b59e06ac7c4,6,0.6667,0.0
00b7056d82db4f58b63e1aeae114816c,614,0.4935,0.4218
00b771bff9e412aa21c4888436c237cf,4291,0.4992,0.0156
00ba94d206db301e70587cc56cbf8f3f,22,0.3636,0.1818
00baadf40ed18058485d288d5f7dd18c,28,0.5,0.4286
00bb149c93e44bdfaca225f250489f28,160,0.4938,0.2375
00bd4b262140f188410443f9b92138f7,78,0.4872,0.4359
00be24138e7b419f903f769f6a8fa6f1,67,0.5075,0.4925
00beb2f394fad94587a6c2d2e634c379,8,0.0,0.0
00bfc4ddfc3a80b52ce298266cc43b4e,22,0.5455,0.0909
00c1feabc1c54acbac525bf2e7f71c9c,1397,0.4939,0.481
00c4df1edf5c4f2f4f8b9528fa7cd83e,1038,0.499,0.499
00c50ecb83434dd7b274b360525a641c,589,0.3226,0.3888
00c59bd47183f6878cc953a456edf7e5,2269,0.4442,0.0983
00cae01d469445e8b957d6bafc26a63d,265,0.4981,0.2642
00ceec0357bbe494f21e20b84ba028eb,681,0.4816,0.4391
00d4009c6076fda0eca071e0fd7f218e,108,0.4815,0.1759
00d56841f09face3fb4638a418b2ca3a,19,0.6842,0.0
00d6fc184cb16734ffa689f0453f0aaf,2234,0.4848,0.1012
00d91025cac57e99f75e43588f677349,150,0.4867,0.4133
00dccd33b7ea410cb0efc86cda6d478e,2669,0.4931,0.453
00dd72db00307bbd809e90bcab0723b2,37,0.4865,0.1622
00dd819e1a3a4074a192629451441e57,9,0.4444,0.1111
00df51f660944b11b012d853f40e78da,3929,0.4406,0.4049
00e1f13c298548ab9472edd1bdf231b7,556,0.4964,0.4964
00e21a94bea6d675176db6cce6cc9099,1097,0.464,0.4777
00e2c9c0091444e0950a794aba66be21,28,0.4286,0.3571
00e86f78e9ca2055e9d993fd3311fed6,2221,0.4836,0.3192
00ee2730ffd34b28851b069ba9c3359f,17,0.4706,0.3529
00efd87dd26b401fab3dcaff4f18954e,927,0.4693,0.4746
00f0228eaf46ccfa0f9fd519a8616950,107,0.5701,0.3925
00f07af86e33e272d563cf623103e028,191,0.5026,0.3455
00f323a502504893877184e7a10b9c21,229,0.4847,0.3406
00f85c9b0b3824b5c095d21e19e6185c,134,0.4925,0.0597
00fac2e0e7c5f1d11bf7fa642e621f19,2,1.0,0.0
00ff0467f511ee9e6be3d6aa8fccd7be,2,1.0,0.0
010309202dc0588f631f4c11a512c596,550,0.4964,0.4836
0104851258f2185219e4174a5df476db,308,0.4935,0.461
010734a30b1ebfc5db25cb5130f6e54a,206,0.4903,0.4563
01098ed5da6ee6c395b933528312aec4,395,0.4987,0.4506
010cc3fb2be84475a46baafb6acdc930,76,0.4342,0.3158
010ffad7089476a881ccef47646f2b16,2,1.0,0.0
011093cd3e84b6ed5897c2e5db1fb653,34,0.4706,0.3529
01119f7180084d0380315fb3c3f15ff0,872,0.4989,0.4622
011227400b470acd817a3de02400a59b,470,0.483,0.4319
0113540112fa1fb58d1e05f4cc11d4e5,211,0.5024,0.3791
01149aa623009e3414028ca916cfdddb,364,0.478,0.3132
0117df6ff12d4ab1a785fe691609898e,332,0.491,0.488
011c599d4059442eaa8f63f99ea0cb00,463,0.4946,0.3888
011ff03601280ec725132e2fcd6c26f6,168,0.5,0.4881
01201b984dd2cc07da8b172f8fe64b69,1528,0.4856,0.4948
0121c505393642159638978bd7efaaa2,203,0.4187,0.3251
01271dc6b87242f3ba8a01fab05a713d,406,0.4926,0.3596
01273903356941928a60916e5039c64f,782,0.4872,0.4565
0127bebaeae875f4c4fadfc0feaa7d91,8,0.5,0.5
012e5dab690d58a35f00bde8f8ac2fee,94,0.5106,0.4043
012f61239a07b8e3de57da333687bfb3,257,0.4708,0.3891
0130e4935cc5e7a2c16770f35593075c,370,0.4541,0.4432
013241b8c07d132891580593f8f4b761,3120,0.4869,0.0196
0132761c1d8d4de59e1d95287920ca9e,426,0.4977,0.493
0132e3b9a84a41a0b89a62aa64c2230b,514,0.5058,0.4942
0133cfe07aa5e0eceac4c696e6c197ad,61,0.4918,0.2951
0134a9a864a74e69847eb5b08cb6ca5a,2035,0.4943,0.4894
01374365f14c657652db661e00217b31,56,0.5,0.1429
013913a2a8006bb053fde75fccbfa2c4,484,0.4959,0.4008
013bb7881d7eec607b563dce1361c349,26,0.5385,0.0
013be54d69b444c4bb82313d856f7a90,179,0.4246,0.3631
013f45cfdde9beb78dceb17712795a90,6,0.6667,0.3333
01402a1f4dc2b9adb28e4506b32c8c96,162,0.4938,0.4877
01410419ab33954459204be926add256,323,0.4985,0.4923
014127a19a15f6a96e7dbd2d9bb99589,4,0.5,0.5
014597ec357718e54d22f7db505e4ab8,1082,0.5129,0.0628
014653779a0e569d611a0a4f2e2b1120,1374,0.4993,0.4978
0148468f37f64d4f89efd016168376d0,808,0.4777,0.3094
014b01a56084a0b8bb24ac0710764d4c,206,0.4854,0.3592
014d9e6994353301688abc696059f22a,8736,0.4896,0.5024
014dd9ed49702c50d947f65c140204e0,156,0.5,0.3846
014f20661a4e4dd28575813da8c0f09d,694,0.4928,0.415
015225e64503ab31e02f61d10bb4f1dd,673,0.474,0.4606
0153b9f6397649bbbb0a29e669f3907a,434,0.4931,0.3733
0155ab8150024b5499fdb0024e32585b,198,0.4949,0.3434
0157a5067772b6dc65128e6f90c0dfc3,197,0.4924,0.0305
015f510591ce7ba1f35ec30057a2f6c6,44,0.5,0.0909
015ff4ba7b581ac900fa3b839e22fdf6,2,1.0,0.0
0162219d4e78004c9e51fe7ae0e18500,7,0.0,0.0
01646a7b02a2316faf184bcc710b8069,113,0.5752,0.4071
016497b395496b7708555413d7a1d077,526,0.4772,0.3612
0165196414cc4062b7497379cec11813,783,0.5006,0.4738
0165340d2ebe7c8a425e337b17ea0072,7816,0.4775,0.4647
01688d4ce5be48d2a64675d677b219a6,323,0.4799,0.3777
01691d7f64ab93bd6979a396ee53ac97,2,1.0,0.0
016de7fcfcafb798e23865a56fbebb55,8,0.5,0.0
016e651c19b30a9e077614745df96022,765,0.4837,0.4876
0171305dbd5e4de48b86547755ccaad5,249,0.49,0.2329
01714e5b71ad457085ee4b3111bd1bb9,109,0.4954,0.1101
01742a815715ea0714455bf9760fb37c,577,0.3882,0.1473
01746aeb2d754d56d2857a44ea24dafc,142,0.5141,0.2887
0175c2e2e63c47ffbdd4c2d608bf0227,170,0.5,0.0059
0176b393e11456035954f963ff27d3d4,58,0.5,0.0
0178fa1abe8e6bd3f9d5ce4614ef0c70,261,0.5019,0.0383
01798f4511a945bf83fb9e0c595e43d0,1394,0.4914,0.477
017a37c324864074b5430fcbf6282505,34,0.5,0.0294
017f08e11e315373885dff12c294b2fc,92,0.4565,0.2174
0188a41f18124666a3303f7682273d6c,34,0.4412,0.3824
01891b73441f5ad540d4e99f07756ee3,111,0.5045,0.3694
0189e35a4cb1577c1f9cfea3ccd8d444,2,1.0,0.0
018b1dffc89f9c5aa24afe0f13efd57b,3473,0.48,0.3098
018e50aa9bc8bd0a239f250b048db947,146,0.4795,0.4795
018e85b5da5d4b10b85b67aaef23ebe0,1492,0.4933,0.4645
018f42695253caefeaeddc7c797836fd,93,0.6022,0.2581
018ffa1e01d94ef58d1b5c0e094eb9f7,54,0.4815,0.1111
0197e1d4e8e54ab880626b01058ad302,69,0.4493,0.1884
019857ff1ec24755bfca5e099dff5c7c,730,0.4849,0.4548
019dbaa218d64f7b8ec54eb109d60ea6,848,0.4965,0.4611
01a3777b684e3f016a4b3e155fe2b24c,1053,0.4758,0.4748
01a3cf455f3372c919a7ad2b94a3c5f9,806,0.4864,0.469
01a4728657ca421facde8b2e524a6a70,219,0.4932,0.1826
01a577d4512f4476a656b01f5e8cc0a4,961,0.4912,0.4766
01a59690d188fd369fd0e2ed4968c551,649,0.4638,0.4222
01a5d70f0dda4bde8211bd31d614f957,109,0.3945,0.2752
01a85ba2dbef59d5911b95a739a05666,31,0.5484,0.2581
01ab42ae30de2a8e5c1ddb9baa45d304,6272,0.4978,0.4627
01ac9426591e4121849b76845725a058,245,0.5265,0.4653
01ae8c71c70843d482474cec02b94ad6,204,0.4902,0.4118
01afd8bf0701ab3c14fcaadbb8ae838f,80,0.5,0.425
01b0de9bc6ea49013d68cf16caacc2f3,1246,0.4896,0.4815
01b1ee13a3d7de8504af80b52c12feab,636,0.4937,0.478
01b2c002d3e03fd9332857180a10745c,588,0.4694,0.4184
01b560c4fc500958cc8cdd003c6fcec4,130,0.5077,0.2923
01b750fef3b252bbf704eeb085267ae7,140,0.5,0.4429
01ba3eecffd34428b9a2333ebb75ac3b,434,0.4885,0.4885
01bea4177f17316a7898b7f0edac6536,37,0.5135,0.4324
01c403294ad54b7e958383a9d590402d,263,0.5133,0.4715
01c40d7f028dc3bf8b49f467723c4254,3713,0.4934,0.0479
01c9418cc60b21b394cea5863359a2de,44,0.5455,0.2727
01cae6efe37b1a9be2c87297467b4a64,102,0.4706,0.4314
01cbd79c01add965cb694dce6c22be5a,1113,0.4717,0.3765
01cdf7838bb24db990c17411c235d2ba,170,0.4824,0.1294
01ce9b6e05e142a9ade6b657920c9862,157,0.5096,0.0382
01d204598f23eab78ccb5c7d843b668d,28,0.5,0.0
01d784d686707f9efb53de61bc388747,300,0.4967,0.47
01d877f7053b45a08d9b9583bbacdaf9,1491,0.4943,0.4715
01dcd8e93798e45984af844da1a4c5e9,116,0.5,0.2931
01df325b535f221ec1a79f7548fec50e,10359,0.4937,0.1033
01dfe19ff6eb072dc9e44960ad554f96,29,0.4828,0.0
01e7a5cb2ad44888e014c2b3ea134d0e,108,0.5,0.1111
01e9ac04e217022cc2cbf2267e496396,2,0.0,0.0
01ea28e1ce21b3d5c07d9822e9d46002,506,0.4901,0.4506
01ead07a8a5d212378fbc88f9fec40a3,52,0.4615,0.2308
01ec42bd59e9cbffb9204096aa21db2b,10607,0.4881,0.4808
01ef2b29e7ba6c4414c1b4281a43fcd4,66,0.5152,0.4242
01efcdfbc28a435370b0e27e65ea2030,235,0.4809,0.366
01f0324a24359b969da1019efd479ff1,1376,0.4884,0.4826
01f41ef538674bdbb8dc8cd909e04119,396,0.4672,0.4419
01fb33efc9302e26261b1a16b18f91fa,1495,0.4783,0.4582
01fdee566b5e2fd01aa7385b0a830038,2,1.0,0.0
01feaf7fa9b1b63d8398f073e81e8c35,1342,0.4903,0.2727
020043f24a7cb79166f365c1cb6f423d,12,0.3333,0.0
02061acca346fbd548647bb5aa1fd0c2,780,0.4346,0.4474
020af1181bea8104f1c97d317e9695f2,44,0.5,0.3636
020bb5737119496fbcb493911b08b7b4,201,0.4179,0.2687
020e88f175187134ecd3056219e3753d,179,0.4749,0.4134
02124152e8684fa2a6868160890b8982,234,0.5128,0.188
0212690e87494eb27d648a45d25bcf2b,136,0.4926,0.3382
0213486167ac5ac775347fb7fa8d24ea,46,0.5217,0.4348
021445a254ce4663a9c8b6392b488a89,110,0.5636,0.4364
02145157a4574f25bb336fb840d4ab8f,72,0.4583,0.1944
02168162a6db4843be480c3188472754,2789,0.4891,0.4041
0217c487da2c5f889111945720078e2f,410,0.4976,0.4732
021a277070a4c8b54f62e3bdf64c75e9,130,0.4923,0.0462
021bc340c1fbf8e5442e157b90e64f6f,4,0.0,0.0
021e6b76d69080e415a9d4f9d53a8fbe,1210,0.4355,0.1331
021f00a858ba1f96d7771179dd3d807b,42,0.5238,0.3333
02228226d2c34f8a9000f6ec79ad832c,247,0.3968,0.3846
0226ee83bb2140dec4a9b49efd5a7872,49,0.5102,0.4898
0228ada667ce4d9fb31c2f3b5dcfa1d8,109,0.3486,0.2936
022ad759c5d340599bf55d31f49a10be,188,0.4574,0.266
022d60da4b44c2a95f1943c6229a25e9,401,0.5062,0.4888
02300d3b646b4420b46568f1773e2251,372,0.4651,0.3656
0230771f25c55462c2e36ddd0c8bc83a,178,0.5056,0.3933
02329cf7f7f04b2e8c9029d99b0f39a9,466,0.4979,0.4979
0233c2c3b644b2d8a8d1449e8f5ae094,977,0.4811,0.4504
02353f66af9c00ea4f199eb2c1a8a2bf,130,0.4615,0.4462
0238f19f8ca97311f571291f7c043812,164,0.5061,0.3476
0239589e486dc06328600620f74f400e,280,0.5143,0.4714
023fc1b47a24edf8651d18d200a8af3c,7135,0.4947,0.4925
0240588f670d83fe9da8962ebf8c7a3f,213,0.5023,0.4038
02417652ac0a4387a5d374295f2af51a,438,0.4954,0.4087
0242e5dfbb2e111a7aad57c2c1ea5ae6,1413,0.4664,0.4883
0248f07784554a608ce121b94631a6ae,135,0.4889,0.2815
0249f9da7c9f9d968bf585b430a86134,2646,0.486,0.4478
024be3c1ac670fb26993a234a6cba2a4,858,0.4965,0.4942
024d76e1d5f34701b4f310597b88b84b,1602,0.4669,0.4257
024d86825f10c88ce024ff1e12161782,775,0.52,0.0929
024f1f2c361044ddb6173cdb7640ffb8,113,0.3894,0.3805
024f8ccca0ac40279ec12d13dfc00625,250,0.496,0.04
025015d3702db1b2b053ec4a6af24290,846,0.4894,0.4917
02545547e7a39276de71742be0d10928,592,0.3615,0.3581
0256deb7a7adb32e30213e3a2b79c2df,190,0.5,0.3105
0259458deca5e3edea6df3cceefc25ac,6410,0.4995,0.4983
025a005fd31440808eebd5a3ae3a6f70,367,0.4877,0.4142
025afafb0f62b7870a197e7ffe3b2fde,193,0.5078,0.2435
025cf5ee49cdbaf86d29616d64d486a7,220,0.5,0.4636
02633d4c2d46e98a1b4e1df826369111,137,0.4964,0.3504
02651a2b5f10636c54adf12ffe903181,58,0.5172,0.1724
026586f3e8975d340d47beb7b5f04943,25,0.52,0.08
0266602d2b40ebb0a0c29f0366d8d3ff,368,0.4973,0.4103
0267c00f77ad4a4bab1406563070460f,16,0.5,0.25
02680cb8ae714c06ace09ca5cecadecd,249,0.4859,0.3534
026a890885454e55c4d92c1cc533d847,36,0.5556,0.0
026c7c1e4713b63619ff4ca878434d10,2,1.0,0.0
026d011f82264d6580c069b8a7383e6f,238,0.5042,0.3361
02717e36576ed175b751ae60b5aed543,624,0.492,0.3846
0275249ae6dca12a40c18707c703a5c3,348,0.4828,0.3506
0277d9ea87e049d5bcfb2642daf5af6b,188,0.5213,0.4468
0279335f7e612c25edcb4f872d23b0a3,88,0.5,0.3864
027b0ad2b00f41218bfccacc73be4b73,1508,0.4907,0.4847
027e7a94945daebadd3d15f41291c790,372,0.4839,0.4059
027f02d46dff9d6db5650daeb09d0a67,622,0.5016,0.4277
0287f7f655424dbcbdf856fdf582d7ec,1741,0.4859,0.4635
028dcda450a6dcec661b24d251a10a07,276,0.5,0.4058
028e2f0cb94b758d5bcb2c40ac4b7993,678,0.4897,0.0413
028f1c0b84a985611add61ddffba12f1,3039,0.2448,0.2215
02934290201884623de21171a1b789b2,256,0.4766,0.4766
0297236fb707fa3fb0961c2f55323c06,170,0.5059,0.4
02990e0a02479947fbddbf8aa00810d5,88,0.4773,0.4318
0299830effbb4cc08fc58bfd88f9dc3f,32,0.5,0.0
029b0ba53bdf57a85335b136ce1b403c,480,0.4812,0.3583
02a2603d03a94769b2da6a975930777f,234,0.3803,0.3333
02a3e674eb7b9ff69741d04b09738d65,1765,0.4312,0.1433
02a48d4ee9021d40b0aafc58c6c937e1,960,0.4938,0.4875
02a53ce59c2a4e2eb998b0c121353afe,180,0.4944,0.1778
02aa959941c0405eb4d9af679b231055,174,0.4368,0.4253
02b3129aca27b885cfbadd432ee6d6e4,88,0.5227,0.0455
02b3bf3150934418b163d8b12318c087,636,0.4575,0.305
02b4819498c5caaae099890963fa7300,154,0.5,0.1753
02b7117a0bc94d5287f3b84d9ce5f3f6,190,0.4737,0.2842
02bb958bca9ed8a3cd0bc62584aa9f14,4,0.5,0.5
02bf7ed8f02d38f8af2ca7ddcc3056c4,2455,0.4961,0.4933
02c0e8c1be1e8809881b5f5baddcae2d,2,1.0,0.0
02c1eea92064588940a1eec41e4123b0,90,0.4889,0.3333
02c33b4738684fd1b7b94486602f4235,299,0.4916,0.4281
02c3acf9a9274f2685be67abac3a5c1c,54,0.4444,0.2037
02c40050c10542b191fe370df6ebffa0,190,0.5053,0.2316
02c4580f4742c7a312ace7ed652e98c2,56,0.6071,0.3929
02c5548959bd4cf9aa9a694afe22aa82,452,0.4912,0.4735
02c621439d96411eaab6321eb1cd581a,16005,0.4603,0.0159
02ca4e95c4a1700004bda1b9dcf070b3,922,0.5,0.461
02cc27852aee8dad93583cf954509178,284,0.4718,0.3521
02cf745f98a76e0fc28f4a09e08fed64,143,0.5035,0.4266
02d27cdafb693012fdd028c185fbc810,30,0.4,0.1333
02d486bc057e1ec198c6994ab42d4218,220,0.5045,0.4545
02d8662bb1a4bdf8d58a11a9d03e2985,989,0.5005,0.0
02d9cdc3f0bb495099257f599b10a431,327,0.5168,0.4709
02de3c1bf8334be79f0bb3f95614f1af,524,0.5076,0.4771
02e1982b5489ff7ace1ac64bce5f7ba8,47,0.5106,0.3191
02e4a283de84f608f278cbbf5b42904b,582,0.4966,0.11
02e68123aeb242c09b74397564892a54,202,0.4158,0.3861
02e6a7216b93f654223adadebb2b942b,84,0.5,0.5
02e6e69c95d74c5585e4885a30c72b62,36,0.5556,0.2222
02e75b4644fe4d3991e27e44a0573b10,442,0.4842,0.3937
02efe34e6b54f54816651d626991dfd7,72,0.5,0.5
02eff5352d017e0a683fa02e9295ea18,76,0.5,0.5
02f1c44cb835472e9b43ca2cdc614569,46,0.4565,0.2391
02f3a63117c1c044184e9d0452ce6763,238,0.4076,0.3613
02f4a94ebff1ab0e86859172a3736b60,5,1.0,0.0
02f73d74079cc167fc4a1f29e08c8839,158,0.481,0.3924
02f7493d363234626dd0cc743d3a261e,99,0.4949,0.4242
02faac94401693d9b88e4bc7f40a0d2c,644,0.4969,0.4876
02faf9ad14b777558766dcaf75cc9638,943,0.4857,0.4613
02fd7e1c864182bf0afff1cb291da2fd,178,0.4719,0.4157
02fde339543944b1a74ff1b2f3584b10,1957,0.4354,0.3797
030027d5a3ab43ccb791e6637acc1e8f,207,0.4879,0.3092
0302a0f1fc0535b2b2f0cd61455ad952,28,0.5,0.0714
03033cc6ec1b60bdad07fe3a87a38481,549,0.4809,0.4608
03052f764739dc21acb776e94df8d00b,97,0.5052,0.4124
0309dac02e8a4a239fd34288c7beac35,9346,0.4852,0.0513
030bd6ea03c294f2723e2530a4bf97c9,42,0.7143,0.1905
030c3c4d317177edb5b21e7fd97c7157,277,0.4946,0.3321
030e9427f3a629cdb9bd4b3179f945dc,57,0.5088,0.3509
030e9f052a98838d64bc0fe38325ed43,52,0.5,0.4231
03157119a2d345b4a2ab56866a070f4b,354,0.4746,0.4124
0316be75943c0a76ea1a29ff8b218c22,373,0.496,0.4504
0316d567eb794078926bda009457bd43,204,0.451,0.4412
03174001f849d8ab71112fa26eb2f94f,66,0.4848,0.4242
03198d37a2dcdbe978867a5a23f31cd6,310,0.4871,0.4871
031a07f577834f25ae33099b5082822b,2601,0.4241,0.1784
031f79b38c0045dbaf8e9d4f206b5220,324,0.466,0.4568
032379d2b9b4501466ac62bd61b1e695,110,0.4545,0.4909
0325f65d2fc744089266f0c2b80f242b,195,0.4359,0.3897
032759fc814f45c9a6e9e2c5f709007d,335,0.4776,0.3552
032aeddf13b4386529f746a0b981b437,22,0.5455,0.4545
032c3be68be540f7b706c217bcc06bee,600,0.4933,0.4967
032ddb7f17083393b288b3de1ee9c6bd,15,0.6,0.0
032e8d271c88e5af3a922eb070cc046f,172,0.4767,0.3372
032f1854059dd71dba65e28a30fe5344,18,0.5556,0.2222
032fdd5eecce171cb912fcb54ed4a95c,222,0.4865,0.4955
0338ee75896acd4493f50f522320b130,21,0.5238,0.381
033b5e8c444ecdbcdde7348c5842ea7e,434,0.4677,0.3134
033e17412a41001122d7db38b77789f8,42,0.5238,0.3333
033ea365755b3dd68a65b644964fa79a,1738,0.4908,0.4609
0340b76c7932436590902ec8c07ee35e,434,0.4977,0.4839
03421b8ac25d131ac34b8b3f56f3828f,1112,0.4775,0.4784
03447bf84fd75e976c480588ceb9d7fd,97,0.5258,0.3505
034ad11304a8f6a6cdcd1b9fda637f6e,156,0.4615,0.4103
034c713150a3414f8d38566698d760cf,752,0.484,0.4894
03529869caf345148c2f4bd3c94a09e3,860,0.4965,0.0116
0357c77243c54eb6a56b2a6ef0d3f5ce,26,0.4615,0.3077
