lsoa_code,lsoa_name,lad_code,lad_name,imd_score,imd_rank,imd_decile,income_score,income_rank,income_decile
E01000001,City of London 001A,E09000001,City of London,8.742,26525,8,0.013,33730,10
E01000002,City of London 001B,E09000001,City of London,4.722,31203,10,0.018,33669,10
E01000003,City of London 001C,E09000001,City of London,9.25,25913,8,0.107,25167,8
E01000005,City of London 001E,E09000001,City of London,19.884,14807,5,0.211,14836,5
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,25.307,10917,4,0.343,7519,3
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,37.217,5377,2,0.486,2857,1
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,40.726,4400,2,0.51,2309,1
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,39.153,4812,2,0.403,5235,2
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,36.767,5535,2,0.421,4637,2
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,37.53,5278,2,0.494,2650,1
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,31.914,7410,3,0.387,5785,2
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,28.117,9243,3,0.309,9095,3
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,30.328,8120,3,0.415,4836,2
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,26.475,10202,4,0.348,7271,3
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,31.808,7452,3,0.4,5324,2
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,29.964,8300,3,0.382,5974,2
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,30.661,7965,3,0.414,4876,2
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,30.021,8264,3,0.333,7989,3
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,37.877,5192,2,0.458,3571,2
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,30.488,8043,3,0.387,5786,2
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,29.683,8426,3,0.371,6392,2
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,29.84,8359,3,0.377,6163,2
E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,33.245,6841,3,0.402,5267,2
E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham,35.4,6021,2,0.444,3949,2
E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham,19.077,15432,5,0.196,16002,5
E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham,34.554,6345,2,0.419,4719,2
E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham,21.003,13927,5,0.246,12560,4
E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham,26.712,10040,3,0.321,8514,3
E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham,33.537,6743,2,0.464,3380,2
E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham,28.583,8994,3,0.337,7765,3
E01000035,Barking and Dagenham 010A,E09000002,Barking and Dagenham,29.504,8514,3,0.339,7702,3
E01000036,Barking and Dagenham 010B,E09000002,Barking and Dagenham,25.385,10874,4,0.304,9324,3
E01000037,Barking and Dagenham 003B,E09000002,Barking and Dagenham,17.76,16580,5,0.225,13884,5
E01000038,Barking and Dagenham 003C,E09000002,Barking and Dagenham,17.612,16728,5,0.227,13771,5
E01000039,Barking and Dagenham 003D,E09000002,Barking and Dagenham,17.12,17151,6,0.221,14160,5
E01000040,Barking and Dagenham 019A,E09000002,Barking and Dagenham,37.802,5208,2,0.46,3489,2
E01000041,Barking and Dagenham 017A,E09000002,Barking and Dagenham,26.175,10397,4,0.368,6504,2
E01000042,Barking and Dagenham 017B,E09000002,Barking and Dagenham,39.355,4753,2,0.51,2313,1
E01000043,Barking and Dagenham 019B,E09000002,Barking and Dagenham,27.454,9631,3,0.301,9492,3
E01000044,Barking and Dagenham 016D,E09000002,Barking and Dagenham,31.558,7562,3,0.383,5939,2
E01000045,Barking and Dagenham 017C,E09000002,Barking and Dagenham,34.446,6387,2,0.392,5597,2
E01000046,Barking and Dagenham 017D,E09000002,Barking and Dagenham,27.678,9497,3,0.382,5960,2
E01000049,Barking and Dagenham 021C,E09000002,Barking and Dagenham,36.991,5459,2,0.329,8135,3
E01000050,Barking and Dagenham 019C,E09000002,Barking and Dagenham,30.806,7897,3,0.388,5720,2
E01000051,Barking and Dagenham 021D,E09000002,Barking and Dagenham,31.542,7571,3,0.546,1649,1
E01000052,Barking and Dagenham 019D,E09000002,Barking and Dagenham,34.895,6208,2,0.411,4957,2
E01000053,Barking and Dagenham 020A,E09000002,Barking and Dagenham,33.471,6763,3,0.395,5513,2
E01000054,Barking and Dagenham 018A,E09000002,Barking and Dagenham,28.481,9055,3,0.365,6602,2
E01000055,Barking and Dagenham 018B,E09000002,Barking and Dagenham,28.667,8945,3,0.381,6008,2
E01000056,Barking and Dagenham 018C,E09000002,Barking and Dagenham,39.902,4599,2,0.477,3064,1
E01000057,Barking and Dagenham 012A,E09000002,Barking and Dagenham,28.873,8843,3,0.348,7286,3
E01000058,Barking and Dagenham 018D,E09000002,Barking and Dagenham,29.526,8503,3,0.376,6184,2
E01000059,Barking and Dagenham 013C,E09000002,Barking and Dagenham,27.068,9848,3,0.381,6003,2
E01000060,Barking and Dagenham 006B,E09000002,Barking and Dagenham,32.786,7035,3,0.407,5088,2
E01000061,Barking and Dagenham 006C,E09000002,Barking and Dagenham,55.406,1545,1,0.69,242,1
E01000062,Barking and Dagenham 006D,E09000002,Barking and Dagenham,26.18,10394,4,0.356,6946,3
E01000063,Barking and Dagenham 004A,E09000002,Barking and Dagenham,25.377,10883,4,0.326,8277,3
E01000064,Barking and Dagenham 006E,E09000002,Barking and Dagenham,31.351,7649,3,0.385,5842,2
E01000065,Barking and Dagenham 007A,E09000002,Barking and Dagenham,35.962,5811,2,0.471,3234,1
E01000066,Barking and Dagenham 011A,E09000002,Barking and Dagenham,21.257,13708,5,0.258,11787,4
E01000067,Barking and Dagenham 011B,E09000002,Barking and Dagenham,24.431,11472,4,0.31,9065,3
E01000068,Barking and Dagenham 016E,E09000002,Barking and Dagenham,23.118,12348,4,0.269,11153,4
E01000069,Barking and Dagenham 011C,E09000002,Barking and Dagenham,15.416,18866,6,0.172,17964,6
