location_id,n_latitudes,n_longitudes,n_boroughs,n_categories
00PL9XV,1,1,1,1
00SBWQK,1,1,1,1
011O1CP,1,1,1,1
0123F8D,1,1,1,1
015QJEK,1,1,1,1
018B9PV,1,1,1,1
01AG2YW,1,1,1,1
01AYCCY,1,1,1,1
01CQHMU,1,1,1,1
01IKXD1,1,1,1,1
01IPEZ9,1,1,1,1
01MSV8O,1,1,1,1
024ZFBL,1,1,1,1
0277RG2,1,1,1,1
02AL13P,1,1,1,1
02AW4D9,1,1,1,1
02HCQYJ,1,1,1,1
02HCT8Y,1,1,1,1
02K6XEP,1,1,1,1
02KV4WA,1,1,1,1
02L91GW,1,1,1,1
02LJRZ3,1,1,1,1
02OH4M5,1,1,1,1
02R7NZT,1,1,1,1
02RIFHA,1,1,1,1
02S3MMS,1,1,1,1
02XEGK6,1,1,1,1
037GQVX,1,1,1,1
03CFWHA,1,1,1,1
03IKWZW,1,1,1,1
03TNXL8,1,1,1,1
03XUDH2,1,1,1,1
047Y6EG,1,1,1,1
04L7C32,1,1,1,1
054KROP,1,1,1,1
05DQUO3,1,1,1,1
05KVFLD,1,1,1,1
05OUAJ3,1,1,1,1
05QNR8Y,1,1,1,1
05QP4TZ,1,1,1,1
05VA8E1,1,1,1,1
05WD16H,1,1,1,1
06ADK11,1,1,1,1
06QK79P,1,1,1,1
06XG13T,1,1,1,1
073E5WP,1,1,1,1
078ZU9D,1,1,1,1
07JLC1I,1,1,1,1
07LMQWU,1,1,1,1
07P4XQH,1,1,1,1
07PE8R9,1,1,1,1
07QY3AU,1,1,1,1
07WPF45,1,1,1,1
084YO7U,1,1,1,1
0878MN0,1,1,1,1
089KDVI,1,1,1,1
08DVBJZ,1,1,1,1
08EIPVJ,1,1,1,1
08G6IBY,1,1,1,1
08SWDCY,1,1,1,1
08XGN7J,1,1,1,1
08YAUCH,1,1,1,1
09KUS46,1,1,1,1
09LCWJF,1,1,1,1
09NBGZU,1,1,1,1
09QRKGV,1,1,1,1
09USNVH,1,1,1,1
0A0EC2N,1,1,1,1
0A2ON6Q,1,1,1,1
0A5PE1F,1,1,1,1
0ABHF2I,1,1,1,1
0AGKZCF,1,1,1,1
0AM9NOO,1,1,1,1
0APA7AC,1,1,1,1
0AR3MY3,1,1,1,1
0AY5BA0,1,1,1,1
0AZ8CJS,1,1,1,1
0AZB96K,1,1,1,1
0B3RQ2V,1,1,1,1
0B84Z27,1,1,1,1
0B8I6AL,1,1,1,1
0BCNW5Z,1,1,1,1
0BCR139,1,1,1,1
0BFSQ0G,1,1,1,1
0BJYO37,1,1,1,1
0BRXM6G,1,1,1,1
0BUJBBK,1,1,1,1
0BX6WDO,1,1,1,1
0BZ4JHP,1,1,1,1
0C3OW1B,1,1,1,1
0C74FU2,1,1,1,1
0CA3RQT,1,1,1,1
0CAMDEY,1,1,1,1
0CG2JP3,1,1,1,1
0CIDML1,1,1,1,1
0CSY6OL,1,1,1,1
0CWD6H0,1,1,1,1
0CZWRCB,1,1,1,1
0D20ADY,1,1,1,1
0DAC93Z,1,1,1,1
0DCWQSG,1,1,1,1
0DHYMQN,1,1,1,1
0DIIJUN,1,1,1,1
0DL5KVK,1,1,1,1
0DMLSUY,1,1,1,1
0DQMY9A,1,1,1,1
0DS1DEQ,1,1,1,1
0DSE4C5,1,1,1,1
0EE0DVW,1,1,1,1
0ELQURR,1,1,1,1
0ESVSWN,1,1,1,1
0EXLNMA,1,1,1,1
0F4Z1HO,1,1,1,1
0F6R8BH,1,1,1,1
0F9NAZQ,1,1,1,1
0FDL7OV,1,1,1,1
0FDLTYO,1,1,1,1
0FEM7BD,1,1,1,1
0FLHV23,1,1,1,1
0FOQU6P,1,1,1,1
0FQUD3T,1,1,1,1
0FXNHQ4,1,1,1,1
0FYZHJA,1,1,1,1
0G1N8TN,1,1,1,1
0G3MEKH,1,1,1,1
0G52U1N,1,1,1,1
0G7QHMU,1,1,1,1
0G92A4J,1,1,1,1
0GHFCUR,1,1,1,1
0GHLL16,1,1,1,1
0GHLMBA,1,1,1,1
0GNCD31,1,1,1,1
0GST624,1,1,1,1
0GU0OV2,1,1,1,1
0GYK3TB,1,1,1,1
0GYMS8A,1,1,1,1
0HFUNRE,1,1,1,1
0HHDD24,1,1,1,1
0HKPGO4,1,1,1,1
0HPRF5P,1,1,1,1
0HVYMFJ,1,1,1,1
0I1Y7NF,1,1,1,1
0ICCFKC,1,1,1,1
0IMEH15,1,1,1,1
0IQ7KEZ,1,1,1,1
0IR426F,1,1,1,1
0IR46ZV,1,1,1,1
0IZQ8RK,1,1,1,1
0J87K29,1,1,1,1
0JAVAUX,1,1,1,1
0JGUFGK,1,1,1,1
0JIPYOE,1,1,1,1
0JKGDWB,1,1,1,1
0JWOXA7,1,1,1,1
0JWSEZH,1,1,1,1
0K0CWJG,1,1,1,1
0K1O8GI,1,1,1,1
0K3E8WV,1,1,1,1
0K6NKQF,1,1,1,1
0K87DL6,1,1,1,1
0KAI1DZ,1,1,1,1
0KCDIHQ,1,1,1,1
0KCDNOQ,1,1,1,1
0KDE5LN,1,1,1,1
0KPUW8H,1,1,1,1
0KWTU5J,1,1,1,1
0L12Y4G,1,1,1,1
0L1G629,1,1,1,1
0L2UK57,1,1,1,1
0L2XU64,1,1,1,1
0L5MVC2,1,1,1,1
0LSP8X4,1,1,1,1
0LSTOMX,1,1,1,1
0LTX6CB,1,1,1,1
0LW5D7R,1,1,1,1
0LX3N1E,1,1,1,1
0M5QJI4,1,1,1,1
0M8RGJL,1,1,1,1
0MCIBEK,1,1,1,1
0MLUTUF,1,1,1,1
0MNTFP9,1,1,1,1
0MQ6LIG,1,1,1,1
0MQEGAV,1,1,1,1
0MT5CWL,1,1,1,1
0MV81ZG,1,1,1,1
0MXBZST,1,1,1,1
0MZT6Y7,1,1,1,1
0N1LBVG,1,1,1,1
0NBCQ5Z,1,1,1,1
0NP5CQS,1,1,1,1
0NPIKFC,1,1,1,1
0NYS5HB,1,1,1,1
0NZHRIN,1,1,1,1
0O3QVPK,1,1,1,1
0O4OOTM,1,1,1,1
0O84VA1,1,1,1,1
0OECN4W,1,1,1,1
0OFX8G4,1,1,1,1
0OKGXTW,1,1,1,1
0OL5KYI,1,1,1,1
0ONCQT9,1,1,1,1
0ORU7F8,1,1,1,1
