location_id,latitude,longitude,address,city,postal_code,borough,location_category,source,operator_name,location_attribute_source,n_devices,n_evse,n_connectors,max_device_power,any_deleted_at_y,n_evse_from_utilisation,n_active_evse,ubar_loc,seff_evse_raw,occupied_minutes_total,has_session,seff_loc
00PL9XV,51.468922,-0.250859,56 Railway Side,Barnes,SW13 0PN,Richmond upon Thames,on-street,OCPI,ubitricity,consistent_rows,1,1,1,5000,False,1,1,0.005570601851466049,0.005570601851466049,240.64999998333332,True,0.005570601851466049
00SBWQK,51.490935,-0.129012,Atherbury Street,Victoria Station,SW1P 4RG,Westminster,on-street,OCPI,ubitricity,consistent_rows,1,1,1,5000,False,1,1,0.019494598764660493,0.019494598764660493,842.1666666333333,True,0.019494598764660493
011O1CP,51.587626,-0.01276,The Drive,Waltham Forest,E17 3BN,Waltham Forest,on-street,OCPI,Believ,consistent_rows,3,6,6,22000,False,6,0,0.0,0.0,0.0,False,0.0
0123F8D,51.521343,-0.114728,Theobalds Road,King's Cross,WC1N 2,Camden,on-street,OCPI,TotalEnergies,consistent_rows,2,2,10,7000,True,2,2,0.05273726851716821,0.10547453703433642,4556.499999883334,True,0.05273726851716821
015QJEK,51.455545,-0.07704,Melbourne Grove,East Dulwich,SE22 8SA,Southwark,on-street,OCPI,char.gy,consistent_rows,1,1,1,5060,False,1,1,0.08439737654166667,0.08439737654166667,3645.9666666,True,0.08439737654166667
018B9PV,51.525857,-0.203923,11 Portnall Road,Maida Vale,W9 3BA,Westminster,on-street,OCPI,ubitricity,consistent_rows,1,1,1,5000,False,1,1,0.0025929783946759257,0.0025929783946759257,112.01666664999999,True,0.0025929783946759257
01AG2YW,51.561095,-0.095158,46 Mountgrove Road,Highbury,N5 2LS,Islington,on-street,OCPI,ubitricity,consistent_rows,1,1,1,5000,False,1,0,0.0,0.0,0.0,False,0.0
01AYCCY,51.47783,-0.19358,17 Blake Gardens,Fulham,SW6 6PN,Hammersmith and Fulham,on-street,Custom,,consistent_rows,1,1,1,4800,False,1,1,0.011574074074074073,0.011574074074074073,500.0,True,0.011574074074074073
01CQHMU,51.524641,-0.117358,29 Doughty Street,Holburn,WC1N 2AA,Camden,on-street,OCPI,TotalEnergies,consistent_rows,1,1,2,6900,False,1,0,0.0,0.0,0.0,False,0.0
01IKXD1,51.415371,-0.177076,Fortescue Road,Wimbledon,SW19 2EB,Merton,on-street,OCPI,char.gy,consistent_rows,1,1,1,5060,False,1,1,0.02582908950578704,0.02582908950578704,1115.8166666500001,True,0.02582908950578704
