lsoa_code,lsoa_name,e_i,S_eff_i,U_i,n_evse,n_active_evse,n_active_locations,has_evse_i
E01000001,City of London 001A,1,0.24391126537152777,0.24391126537152777,1,1,1,True
E01000002,City of London 001B,1,0.0159715952928723,0.0159715952928723,8,7,1,True
E01000003,City of London 001C,0,0.0,,0,0,0,False
E01000005,City of London 001E,0,0.0,,0,0,0,False
E01000006,Barking and Dagenham 016A,0,0.0,,0,0,0,False
E01000007,Barking and Dagenham 015A,0,0.0,,0,0,0,False
E01000008,Barking and Dagenham 015B,0,0.0,,0,0,0,False
E01000009,Barking and Dagenham 016B,1,0.21297617669328706,0.21297617669328706,4,4,1,True
E01000011,Barking and Dagenham 016C,0,0.0,,0,0,0,False
E01000012,Barking and Dagenham 015D,1,0.06407282021421683,0.06407282021421683,4,4,1,True
E01000013,Barking and Dagenham 013A,0,0.0,,0,0,0,False
E01000014,Barking and Dagenham 013B,0,0.0,,0,0,0,False
E01000015,Barking and Dagenham 009A,0,0.0,,0,0,0,False
E01000016,Barking and Dagenham 009B,0,0.0,,0,0,0,False
E01000017,Barking and Dagenham 009C,0,0.0,,0,0,0,False
E01000018,Barking and Dagenham 009D,0,0.0,,0,0,0,False
E01000019,Barking and Dagenham 023A,0,0.0,,0,0,0,False
E01000020,Barking and Dagenham 023B,0,0.0,,0,0,0,False
E01000021,Barking and Dagenham 008A,0,0.0,,0,0,0,False
E01000022,Barking and Dagenham 008B,0,0.0,,0,0,0,False
E01000024,Barking and Dagenham 008D,0,0.0,,0,0,0,False
E01000025,Barking and Dagenham 008E,0,0.0,,0,0,0,False
E01000027,Barking and Dagenham 001A,0,0.0,,0,0,0,False
E01000028,Barking and Dagenham 001B,0,0.0,,0,0,0,False
E01000029,Barking and Dagenham 001C,0,0.0,,0,0,0,False
E01000030,Barking and Dagenham 001D,0,0.0,,0,0,0,False
E01000031,Barking and Dagenham 002A,0,0.0,,0,0,0,False
E01000032,Barking and Dagenham 002B,0,0.0,,0,0,0,False
E01000033,Barking and Dagenham 006A,0,0.0,,0,0,0,False
E01000034,Barking and Dagenham 003A,0,0.0,,0,0,0,False
E01000035,Barking and Dagenham 010A,3,0.3292121399003601,0.10973737996678669,11,6,2,True
