scenario,alpha,p,M1_efficiency_cost_pct,M2_tail_accessibility_m,M3_deprivation_gap_m,M4_equity_allocation_ratio,dbar_baseline_weighted_m,solver_status,solve_seconds
A,0.0,2000,0.0,1346.5824407482608,5.399891879253971,0.3061677110690707,290.6032195545733,Optimal,11.788756847381592
B,0.1,2000,-1.4628020689014123,1324.5910042280625,12.662057597550017,0.11829207018577734,286.35226964663485,Optimal,15.378543853759766
C,0.3,2000,-3.71705159889722,1293.683375880738,25.671554832165953,0.11133371311602572,279.80134793567316,Optimal,13.317842960357666
D,0.5,2000,-5.169273893238837,1279.391961260756,36.76149723500396,0.47316828074310935,275.58114319322715,Optimal,14.99840784072876
A,0.0,5000,0.0,1346.5824407482608,5.399891879253971,0.5900686795149364,290.6032195545733,Optimal,29.91906499862671
B,0.1,5000,-1.4615781688655718,1324.5910042280625,12.662057597550017,0.6123354221381414,286.3558263395431,Optimal,64.93814396858215
C,0.3,5000,-3.71705159889722,1293.683375880738,25.671554832165953,0.1670005696740386,279.80134793567316,Optimal,38.84773015975952
D,0.5,5000,-5.169273893238837,1279.391961260756,36.76149723500396,0.4091513957013945,275.58114319322715,Optimal,23.214039087295532
A,0.0,8000,0.0,1346.5824407482608,5.178862617946436,0.6279917255450825,290.6033731995439,Optimal,93.36403584480286
B,0.1,8000,-1.4628540846933806,1324.5910042280625,12.662057597550017,0.6645231001612786,286.35226988443765,Optimal,64.11957097053528
C,0.3,8000,-3.7171945148519097,1293.683375880738,25.700521561306175,0.8210861342306897,279.80108055099583,Optimal,74.85484027862549
D,0.5,8000,-5.16932403121201,1279.391961260756,36.76149723500396,0.6488667967543374,275.58114319322715,Optimal,55.368473052978516
