location_id,address,latitude,longitude,borough
EAIVKPV,1 Aberavon Road,51.525533,-0.034261,Tower Hamlets
QNAIGLD,11A Tredegar Square,51.527148,-0.031292,Tower Hamlets
CEDJIUQ,14 Morgan Street,51.527757,-0.03104,Tower Hamlets
BH7HCS3,17 Aberavon Road,51.525973,-0.034628,Tower Hamlets
2T0NRUZ,18 Lichfield Road,51.527863,-0.035521,Tower Hamlets
2RYN1YV,1B Alloway Road,51.527167,-0.035081,Tower Hamlets
GQ5CJNK,24 Aberavon Road,51.526582,-0.034909,Tower Hamlets
2LU6EZX,25 Aberavon Road,51.526149,-0.034732,Tower Hamlets
38ADWI4,25 Lichfield Road,51.527942,-0.035119,Tower Hamlets
BK7TFCK,25 Morgan Street,51.52713,-0.034327,Tower Hamlets
41V178D,28 Aberavon Road,51.526679,-0.035053,Tower Hamlets
LC7F62B,28 Tredegar Square,51.52753,-0.032291,Tower Hamlets
BTI0OXI,3 Aberavon Road,51.525655,-0.034435,Tower Hamlets
5FOZ9PD,35 Morgan Street,51.52775,-0.031503,Tower Hamlets
1ZDU839,39 Aberavon Road,51.526406,-0.034887,Tower Hamlets
C5BLYUZ,41 Morgan Street,51.527793,-0.031325,Tower Hamlets
7HGQL12,48 Clinton Road,51.526069,-0.036212,Tower Hamlets
EXGUSIW,5 Alloway Road,51.527439,-0.035238,Tower Hamlets
AADS23Y,51 Clinton Road,51.526129,-0.03639,Tower Hamlets
7PWMRFN,58 Clinton Road,51.52625,-0.036417,Tower Hamlets
DAWFYJ4,8 Aberavon Road,51.526281,-0.034725,Tower Hamlets
CNGTPOF,9 Aberavon Road,51.52583,-0.034446,Tower Hamlets
B0I7U1Z,9A Alloway Road,51.527012,-0.035092,Tower Hamlets
4NPMURG,Clinton Road,51.527144,-0.037589,Tower Hamlets
3QCRTLR,Clinton Road,51.525866,-0.036126,Tower Hamlets
69JL4S1,Edicule Square,51.527271,-0.033673,Tower Hamlets
5ML1NWY,Junction Alloway Road,51.526911,-0.034987,Tower Hamlets
55MRYAQ,Junction Bow Road,51.526298,-0.029907,Tower Hamlets
CDCE4UZ,Junction Opposite Rhondda Grove,51.52718,-0.034099,Tower Hamlets
8PVDO7Z,Junction Tredegar Square,51.527309,-0.033098,Tower Hamlets
5IQRQDL,Near 96 Clinton Road,51.527068,-0.037361,Tower Hamlets
6YFJH40,Opposite 17 Morgan Street,51.527008,-0.034516,Tower Hamlets
7LAP42P,Opposite 2 Morgan Street,51.526773,-0.03561,Tower Hamlets
8FJBTQT,Opposite 22 Lichfield Road,51.527813,-0.035264,Tower Hamlets
CST5228,Opposite 29 Lichfield Road,51.527935,-0.034778,Tower Hamlets
BXL1OKX,Opposite 29 Morgan Street,51.527615,-0.031684,Tower Hamlets
5HS37BZ,Opposite 37 Lichfield Road,51.528051,-0.03427,Tower Hamlets
31ZW66V,Opposite 44 Lichfield Road,51.528143,-0.03379,Tower Hamlets
C7YDAEP,Opposite 96 Clinton Road,51.526991,-0.037377,Tower Hamlets
4HE7SY1,Opposite Edicule Square,51.52726,-0.033329,Tower Hamlets
90R1LO3,Outside 1 Morgan Street,51.5269,-0.03542,Tower Hamlets
EXA8EJH,Outside 13 Morgan Street,51.527036,-0.03477,Tower Hamlets
3NMI3V5,Outside 17 Alloway Road,51.527586,-0.035415,Tower Hamlets
622IZJ2,Outside 24 Alloway Road,51.527291,-0.035247,Tower Hamlets
6SNDHQU,Outside 26 Morgan Street,51.527587,-0.032211,Tower Hamlets
C7SPEB2,Outside 26 Morgan Street,51.527587,-0.032211,Tower Hamlets
BRQE5XN,Outside 28 Grove Road,51.526643,-0.035854,Tower Hamlets
3N7ZH9W,Outside 29 Tredegar Square,51.527498,-0.032646,Tower Hamlets
DOTC5WA,Outside 32 Lichfield Road,51.528064,-0.034604,Tower Hamlets
8YUOGTQ,Outside 32B College Terrace,51.527636,-0.033049,Tower Hamlets
9Y4Q9DO,Outside 40 Grove Road,51.527075,-0.03632,Tower Hamlets
3C98YQZ,Outside 40 Lichfield Road,51.528182,-0.034057,Tower Hamlets
7UHQYJ8,Outside 5 Morgan Street,51.526961,-0.035193,Tower Hamlets
2NXRVMI,Outside 61 Clinton Road,51.52634,-0.036634,Tower Hamlets
3KS7MX6,Outside 70 Clinton Road,51.526466,-0.036667,Tower Hamlets
AADET6R,Outside 71 Clinton Road,51.526533,-0.036858,Tower Hamlets
E739R0D,Outside 8 Lichfield Road,51.527672,-0.036261,Tower Hamlets
51I7CKF,Outside 82 Clinton Road,51.526682,-0.036915,Tower Hamlets
7FALGU9,Outside 83 Clinton Road,51.52675,-0.037104,Tower Hamlets
6UBTSQ1,Outside 9-10 College Terrace,51.527735,-0.033212,Tower Hamlets
4WYF2HL,Outside 90 Lichfield Road,51.527672,-0.035953,Tower Hamlets
7CM1WFC,Outside 92 Clinton Road,51.526862,-0.03712,Tower Hamlets
67QGV4Z,Outside Clinton Road,51.527304,-0.037263,Tower Hamlets
