london_income_decile,High vehicle stock / no registered provision,Low vehicle stock / no registered provision,Existing provision / higher observed utilisation,Existing provision / lower observed utilisation
1,10.6,24.0,33.2,32.2
2,19.438877755511022,19.438877755511022,30.66132264529058,30.460921843687377
3,21.8436873747495,16.03206412825651,34.86973947895792,27.25450901803607
4,24.2,10.6,37.4,27.800000000000004
5,27.85571142284569,8.216432865731463,31.462925851703403,32.46492985971944
6,25.0501002004008,10.02004008016032,32.26452905811623,32.66533066132264
7,27.800000000000004,7.8,31.8,32.6
8,30.060120240480963,5.01002004008016,30.460921843687377,34.46893787575151
9,34.06813627254509,4.008016032064128,28.857715430861724,33.06613226452906
10,38.2,3.5999999999999996,25.2,33.0
