lsoa_code,e_i,u_i,V_i,london_income_decile,mismatch_category
E01000001,1,0.2439112653715277,331.0,10,Saturated / potentially underprovided
E01000002,1,0.0159715952928723,296.0,10,Apparently adequate
E01000003,0,,219.99999999999991,9,"Low-demand, no provision"
E01000005,0,,119.0,7,"Low-demand, no provision"
E01000006,0,,516.0,4,"Low-demand, no provision"
E01000007,0,,529.0,1,"Low-demand, no provision"
E01000008,0,,338.0,1,"Low-demand, no provision"
E01000009,1,0.212976176693287,404.0,2,Saturated / potentially underprovided
E01000011,0,,358.0,2,"Low-demand, no provision"
E01000012,1,0.0640728202142168,473.0,1,Saturated / potentially underprovided
E01000013,0,,534.0,3,"Low-demand, no provision"
E01000014,0,,618.0,4,Demand-implied desert
E01000015,0,,698.0,2,Demand-implied desert
E01000016,0,,616.0,3,Demand-implied desert
E01000017,0,,562.0,2,Demand-implied desert
E01000018,0,,621.0000000000001,3,Demand-implied desert
E01000019,0,,519.9999999999999,2,"Low-demand, no provision"
E01000020,0,,675.0,4,Demand-implied desert
E01000021,0,,534.0,2,"Low-demand, no provision"
E01000022,0,,500.00000000000006,3,"Low-demand, no provision"
E01000024,0,,506.00000000000006,3,"Low-demand, no provision"
E01000025,0,,604.0,3,Demand-implied desert
E01000027,0,,694.0,2,Demand-implied desert
E01000028,0,,512.0,2,"Low-demand, no provision"
E01000029,0,,779.0,7,Demand-implied desert
E01000030,0,,792.0,2,Demand-implied desert
E01000031,0,,691.0,6,Demand-implied desert
E01000032,0,,688.9999999999999,4,Demand-implied desert
E01000033,0,,517.0,2,"Low-demand, no provision"
E01000034,0,,560.0,4,Demand-implied desert
E01000035,3,0.1097373799667866,569.0,4,Saturated / potentially underprovided
E01000036,0,,500.0,4,"Low-demand, no provision"
E01000037,0,,785.0,6,Demand-implied desert
E01000038,0,,670.0,6,Demand-implied desert
E01000039,0,,737.0,6,Demand-implied desert
E01000040,0,,515.0,2,"Low-demand, no provision"
E01000041,0,,602.0,3,Demand-implied desert
E01000042,0,,487.0,1,"Low-demand, no provision"
E01000043,0,,477.0,5,"Low-demand, no provision"
E01000044,0,,469.00000000000006,3,"Low-demand, no provision"
E01000045,0,,524.0,3,"Low-demand, no provision"
E01000046,0,,608.0,3,Demand-implied desert
E01000049,1,0.1532857831761188,435.0,4,Saturated / potentially underprovided
E01000050,0,,452.0,3,"Low-demand, no provision"
E01000051,1,0.0,233.0,1,Apparently adequate
E01000052,0,,598.0,2,Demand-implied desert
E01000053,1,0.1135201581768904,502.0,3,Saturated / potentially underprovided
E01000054,0,,618.0,3,Demand-implied desert
