location_id,latitude,longitude,address,city,postal_code,borough,location_category,source,operator_name,location_attribute_source,n_devices,n_evse,n_connectors,max_device_power,any_deleted_at_y
00PL9XV,51.468922,-0.250859,56 Railway Side,Barnes,SW13 0PN,Richmond upon Thames,on-street,OCPI,ubitricity,consistent_rows,1,1,1,5000,False
00SBWQK,51.490935,-0.129012,Atherbury Street,Victoria Station,SW1P 4RG,Westminster,on-street,OCPI,ubitricity,consistent_rows,1,1,1,5000,False
011O1CP,51.587626,-0.01276,The Drive,Waltham Forest,E17 3BN,Waltham Forest,on-street,OCPI,Believ,consistent_rows,3,6,6,22000,False
0123F8D,51.521343,-0.114728,Theobalds Road,King's Cross,WC1N 2,Camden,on-street,OCPI,TotalEnergies,consistent_rows,2,2,10,7000,True
015QJEK,51.455545,-0.07704,Melbourne Grove,East Dulwich,SE22 8SA,Southwark,on-street,OCPI,char.gy,consistent_rows,1,1,1,5060,False
018B9PV,51.525857,-0.203923,11 Portnall Road,Maida Vale,W9 3BA,Westminster,on-street,OCPI,ubitricity,consistent_rows,1,1,1,5000,False
01AG2YW,51.561095,-0.095158,46 Mountgrove Road,Highbury,N5 2LS,Islington,on-street,OCPI,ubitricity,consistent_rows,1,1,1,5000,False
01AYCCY,51.47783,-0.19358,17 Blake Gardens,Fulham,SW6 6PN,Hammersmith and Fulham,on-street,Custom,,consistent_rows,1,1,1,4800,False
01CQHMU,51.524641,-0.117358,29 Doughty Street,Holburn,WC1N 2AA,Camden,on-street,OCPI,TotalEnergies,consistent_rows,1,1,2,6900,False
01IKXD1,51.415371,-0.177076,Fortescue Road,Wimbledon,SW19 2EB,Merton,on-street,OCPI,char.gy,consistent_rows,1,1,1,5060,False
01IPEZ9,51.307667,-0.102645,Old Lodge Lane,Kenley,CR8 5EU,Croydon,destination,Custom,,consistent_rows,1,3,3,50000,True
01MSV8O,51.460118,-0.080063,Jarvis Road,East Dulwich,SE22 8RB,Southwark,on-street,OCPI,char.gy,consistent_rows,1,1,1,5060,False
024ZFBL,51.499066,-0.247245,Hartswood Road,Shepherds Bush,W12 9NQ,Hammersmith and Fulham,on-street,Custom,,consistent_rows,1,1,1,4800,False
0277RG2,51.419377,-0.055109,34 Station Road,Anerley,SE20 7BQ,Bromley,destination,OCPI,TotalEnergies,consistent_rows,2,2,8,7000,True
02AL13P,51.455135,-0.091341,50 Beckwith Road,Herne Hill,SE24 9LQ,Southwark,on-street,OCPI,ubitricity,consistent_rows,1,1,1,5000,False
02AW4D9,51.497898,-0.1264, Abingdon Street Car Park,Victoria Station,SW1P 3RX,Westminster,destination,Custom,,consistent_rows,2,6,6,50000,True
02HCQYJ,51.471118,-0.075776,Denman Road,Nunhead,SE15 5NR,Southwark,on-street,OCPI,char.gy,consistent_rows,1,1,1,5060,False
02HCT8Y,51.551828,-0.247894,29 Denzil Road,Willesdon,NW10 2UP,Brent,on-street,OCPI,ubitricity,consistent_rows,1,1,1,5000,False
02K6XEP,51.472193,-0.239641,Outside 8 Rectory Road,Barnes,SW13 0DU,Richmond upon Thames,on-street,OCPI,,consistent_rows,1,1,3,5000,True
02KV4WA,51.543816,0.208896,,Havering,RM12 5AF,Havering,destination,Custom,,consistent_rows,2,4,4,7000,True
02L91GW,51.490526,-0.189253,36 Bolton Gardens,Earl's Court,SW5 0AQ,Kensington and Chelsea,on-street,OCPI,ubitricity,consistent_rows,1,1,1,5000,False
02LJRZ3,51.503518,-0.106169,Styles House,Southwark,SE1 8DF,Southwark,on-street,OCPI,TotalEnergies,consistent_rows,1,1,4,7000,True
02OH4M5,51.538877,-0.210963,110 Chevening Road,Kilburn,NW6 6TP,Brent,on-street,OCPI,ubitricity,consistent_rows,1,1,1,5000,False
