lsoa_code,e_i,D_A,D_B,D_C,D_D,IMD_i,london_income_decile,x_j_A_p2000,s_j_A_p2000,A_i_A_p2000,x_j_A_p5000,s_j_A_p5000,A_i_A_p5000,x_j_A_p8000,s_j_A_p8000,A_i_A_p8000,x_j_B_p2000,s_j_B_p2000,A_i_B_p2000,x_j_B_p5000,s_j_B_p5000,A_i_B_p5000,x_j_B_p8000,s_j_B_p8000,A_i_B_p8000,x_j_C_p2000,s_j_C_p2000,A_i_C_p2000,x_j_C_p5000,s_j_C_p5000,A_i_C_p5000,x_j_C_p8000,s_j_C_p8000,A_i_C_p8000,x_j_D_p2000,s_j_D_p2000,A_i_D_p2000,x_j_D_p5000,s_j_D_p5000,A_i_D_p5000,x_j_D_p8000,s_j_D_p8000,A_i_D_p8000
E01000001,1,51.734188753343034,51.80144319872238,51.93595208948107,52.07046098023976,0.013,10,0.0,0.0,3.3858880922624266,0.0,0.0,3.550420924228268,0.0,0.0,3.726602147968836,0.0,0.0,3.3867499518508297,0.0,0.0,3.553685564939944,0.0,0.0,3.7284891119970442,0.0,0.0,3.384739418794343,0.0,0.0,3.55457335787752,0.0,0.0,3.736286386325777,0.0,0.0,3.3883083304422565,0.0,0.0,3.5535468716944596,0.0,0.0,3.7317905955320008
E01000002,1,37.786226683113334,37.85424189114294,37.99027230720215,38.12630272326135,0.018,10,0.0,0.0,3.4090995016520917,0.0,0.0,3.5736947036343514,0.0,0.0,3.750223503711526,0.0,0.0,3.4099524074158896,0.0,0.0,3.577124467125582,0.0,0.0,3.7521047325487418,0.0,0.0,3.4079530022855433,0.0,0.0,3.578027033773952,0.0,0.0,3.760188937262866,0.0,0.0,3.411460498551657,0.0,0.0,3.5767490532650967,0.0,0.0,3.755679357329134
E01000003,0,27.642857142857128,27.9386357142857,28.530192857142843,29.121749999999988,0.107,9,0.0,0.0,3.3976588833601418,0.0,0.0,3.5629421753728376,0.0,0.0,3.73910294772981,0.0,0.0,3.3985930753973905,0.0,0.0,3.566135231646589,0.0,0.0,3.740995017808877,0.0,0.0,3.3965018082177014,0.0,0.0,3.566282377236303,0.0,0.0,3.748827722885263,0.0,0.0,3.3999998995233685,0.0,0.0,3.5654760182100085,0.0,0.0,3.7442195739205415
E01000005,0,14.952272727272724,15.267765681818176,15.898751590909084,16.529737499999992,0.211,7,0.0,0.0,3.552607372999095,0.0,0.0,3.716728102811751,0.0,0.0,3.895451589654283,0.0,0.0,3.55329439639538,0.0,0.0,3.7209779583513316,0.0,0.0,3.897399727155785,0.0,0.0,3.5514698420857695,0.0,0.0,3.7231145092574334,0.0,0.0,3.906561274288433,0.0,0.0,3.5547860683944434,0.0,0.0,3.720359072641702,0.0,0.0,3.902256477021113
E01000006,0,64.83506493506492,67.05890766233765,71.5065931168831,75.95427857142856,0.343,4,0.0,64.835065,1.685701968006615,0.0,64.835065,1.8774910122212225,4.0,12.164649,2.2002585210937595,0.0,67.058908,1.6747617515551079,0.0,67.058908,1.8860394267808402,0.0,67.058908,2.1529599716296,0.0,71.506593,1.6806676899251367,0.0,71.506593,1.8974419144581463,0.0,71.506593,2.180784334751734,0.0,75.954279,1.6706767382986678,0.0,75.954279,1.8864393442889282,0.0,75.954279,2.1867338352607035
E01000007,0,66.46850649350648,69.6988759090909,76.15961474025973,82.62035357142855,0.486,1,0.0,66.468506,1.7634773316422039,0.0,66.468506,1.9513387307011154,0.0,66.468506,2.2306464928689556,0.0,69.698876,1.7588774587281255,0.0,69.698876,1.9603567623033566,0.0,69.698876,2.204913278626373,0.0,76.159615,1.7609991666021707,0.0,76.159615,1.969598582481218,0.0,76.159615,2.226847433561012,0.0,82.620354,1.7540265637994477,0.0,82.620354,1.9578646169367953,0.0,82.620354,2.2314905607074675
E01000008,0,42.46948051948051,44.63542402597402,48.96731103896104,53.29919805194804,0.51,1,0.0,42.469481,1.8204182974088996,0.0,42.469481,2.0061405373282364,0.0,42.469481,2.270927033332474,0.0,44.635424,1.8175648992065865,0.0,44.635424,2.0144580377235073,0.0,44.635424,2.2487145308315313,0.0,48.967311,1.818498946459677,0.0,48.967311,2.0225508221003086,0.0,48.967311,2.268129447207323,0.0,53.299198,1.813174581695884,0.0,53.299198,2.010593814295964,0.0,53.299198,2.271456085895981
E01000009,1,61.57350625767598,64.05491855986033,69.017743164229,73.9805677685977,0.403,2,0.0,48.405902,1.7250153666152515,0.0,48.405902,1.9147845770505312,0.0,48.405902,2.205254122024612,0.0,50.887315,1.7175828006173806,0.0,50.887315,1.9245112466669003,0.0,50.887315,2.180185353531785,0.0,55.850139,1.72151623256829,0.0,55.850139,1.9340702480848988,0.0,55.850139,2.2051581376506713,0.0,60.812964,1.7124574849203615,0.0,60.812964,1.922704364743481,0.0,60.812964,2.2110125041858293
E01000011,0,44.98246753246752,46.876229415584405,50.66375318181817,54.451276948051934,0.421,2,0.0,44.982468,1.742689666842131,0.0,44.982468,1.9321056625590423,0.0,44.982468,2.2256541479925955,0.0,46.876229,1.7373520064905605,0.0,46.876229,1.9425411786512452,0.0,46.876229,2.1909005741359033,0.0,50.663753,1.7404711567386204,0.0,50.663753,1.9493101619247977,0.0,50.663753,2.214883309132415,0.0,54.451277,1.7319051870306785,0.0,54.451277,1.938662738878487,0.0,54.451277,2.220960267055599
E01000012,1,63.24012786137421,66.36419017772609,72.61231481042988,78.86043944313363,0.494,1,0.0,50.072524,1.7975974052986785,0.0,50.072524,1.9853530722877761,0.0,50.072524,2.272428077552451,0.0,53.196586,1.7943461467434483,0.0,53.196586,1.9945282304866716,0.0,53.196586,2.232325248097892,0.0,59.444711,1.7959868639956649,0.0,59.444711,2.0004600675658155,0.0,59.444711,2.25373027016071,0.0,65.692836,1.7896192148642514,0.0,65.692836,1.9893066865331341,0.0,65.692836,2.2582031007398484
E01000013,0,67.09675324675324,69.69339759740258,74.88668629870129,80.07997499999999,0.387,3,5.0,1.2587338,1.4618624164262781,5.0,1.2587338,1.6795307117443665,5.0,1.2587338,1.9854834583844454,5.0,3.8553782,1.4252365740635522,5.0,3.8553782,1.658234621436526,5.0,3.8553782,1.9924620291887676,5.0,9.0486669,1.4197043094248738,5.0,9.0486669,1.6792724294574204,5.0,9.0486669,2.0275898732150015,6.0,1.0743517,1.4388220161018395,6.0,1.0743517,1.6567305017229528,6.0,1.0743517,2.0376095627550512
E01000014,0,77.65129870129869,80.05072383116881,84.84957409090907,89.64842435064934,0.309,4,5.0,11.813279,1.4774180890536242,5.0,11.813279,1.694580374519154,5.0,11.813279,2.0184525022659425,0.0,80.050724,1.4090773482757646,0.0,80.050724,1.6394662603062917,6.0,1.0451005,2.030130300245091,0.0,84.849574,1.4053720977784407,6.0,5.8439508,1.7123062799553743,6.0,5.8439508,2.0739836797058406,0.0,89.648424,1.416338867985007,0.0,89.648424,1.6317138541572733,0.0,89.648424,2.025335279936815
E01000015,0,87.70324675324675,91.3429314935065,98.62230097402598,105.90167045454544,0.415,2,6.0,8.6976234,1.443541136709214,6.0,8.6976234,1.665012414747804,6.0,8.6976234,1.9526549615249396,0.0,91.342931,1.354224599145501,0.0,91.342931,1.5946111659038216,6.0,12.337308,1.961449690815515,0.0,98.622301,1.347125398267266,0.0,98.622301,1.6067664776169504,7.0,6.4490738,1.9957469655094737,0.0,105.90167,1.3542922040814787,0.0,105.90167,1.5824789966878525,8.0,0.56083937,2.0124579466561476
E01000016,0,77.39999999999999,80.09351999999998,85.48056,90.86759999999998,0.348,3,5.0,11.561981,1.4491671788770037,5.0,11.561981,1.6931136934220388,5.0,11.561981,1.9739475175709658,0.0,80.09352,1.3673128090447504,0.0,80.09352,1.6266153766381144,6.0,1.0878967,1.9884071505949374,0.0,85.48056,1.3629985266355935,0.0,85.48056,1.6384356962476527,6.0,6.4749367,2.0246491183043784,6.0,11.861977,1.4452795942267571,0.0,90.8676,1.6124773707172717,0.0,90.8676,1.983648362857907
E01000017,0,70.61493506493505,73.43953246753246,79.08872727272727,84.73792207792206,0.4,2,5.0,4.7769156,1.462200784253204,5.0,4.7769156,1.7030591857742763,5.0,4.7769156,1.9986213593579556,0.0,73.439532,1.3865851182840596,0.0,73.439532,1.6410743697644623,5.0,7.601513,2.0019404343671954,0.0,79.088727,1.3832081381272703,0.0,79.088727,1.6574571456445324,6.0,0.083103963,2.0569496516614523,6.0,5.7322988,1.4674806909704832,0.0,84.737922,1.6264924056322747,0.0,84.737922,2.0140829905951447
E01000018,0,78.02824675324675,81.00892577922077,86.97028383116883,92.93164188311688,0.382,3,5.0,12.190227,1.4549602594435433,5.0,12.190227,1.6845894040662244,5.0,12.190227,1.97141704957824,0.0,81.008926,1.3672536434457427,0.0,81.008926,1.613208130892883,6.0,2.0033025,1.9870469511039008,0.0,86.970284,1.361877450748039,0.0,86.970284,1.6267353908617892,6.0,7.9646605,2.020447393519846,0.0,92.931642,1.3866131759544635,0.0,92.931642,1.600685585355011,7.0,0.75841469,2.0302694429884136
E01000019,0,65.33766233766231,68.04264155844153,73.45259999999998,78.8625584415584,0.414,2,0.0,65.337662,1.4900813948986853,0.0,65.337662,1.7328128667999332,4.0,12.667247,2.1093279065513895,0.0,68.042642,1.492662423463655,0.0,68.042642,1.7418923690623798,5.0,2.2046221,2.0981497106232627,0.0,73.4526,1.4967579303310534,0.0,73.4526,1.7477024019309824,5.0,7.6145806,2.146834967334781,0.0,78.862558,1.4945417605710594,0.0,78.862558,1.7401088971174556,5.0,13.024539,2.1836242259479293
E01000020,0,84.81331168831167,87.63759496753246,93.286161525974,98.93472808441555,0.333,4,0.0,84.813312,1.472629969833287,0.0,84.813312,1.7138064954172396,6.0,5.8076884,2.10943884828344,0.0,87.637595,1.4713304954424955,0.0,87.637595,1.7176526007670547,6.0,8.6319717,2.097918188413078,0.0,93.286162,1.4747397752774751,0.0,93.286162,1.7316518330106014,7.0,1.1129343,2.161664156065004,0.0,98.934728,1.4766581321618582,0.0,98.934728,1.7192675052538218,7.0,6.7615009,2.1920225672203153
E01000021,0,67.09675324675324,70.16978454545455,76.31584714285714,82.46190974025974,0.458,2,0.0,67.096753,1.5173004439423754,0.0,67.096753,1.7481625482053562,0.0,67.096753,2.0970712247900236,0.0,70.169785,1.5183370811593762,0.0,70.169785,1.7582617788791062,5.0,4.3317651,2.1263118019076392,0.0,76.315847,1.5222309569907195,0.0,76.315847,1.7698051330786058,5.0,10.477828,2.1779794125437366,0.0,82.46191,1.517651424765341,0.0,82.46191,1.7565741290373498,6.0,3.4562864,2.2143259167606795
E01000022,0,62.824675324675326,65.25599025974026,70.11862012987014,74.98125,0.387,3,0.0,62.824675,1.4908240173695546,0.0,62.824675,1.7224337817035995,4.0,10.15426,2.1053811859861904,0.0,65.25599,1.488641299444987,0.0,65.25599,1.7282866138374358,4.0,12.585575,2.1009378152103135,0.0,70.11862,1.4916116453700954,0.0,70.11862,1.742050952886928,5.0,4.2806007,2.1687976950687013,0.0,74.98125,1.4909260722671962,0.0,74.98125,1.7266466117708648,5.0,9.1432306,2.19453529603679
E01000024,0,63.57857142857142,65.93733642857141,70.65486642857142,75.37239642857142,0.371,3,0.0,63.578571,1.4942271768389486,0.0,63.578571,1.718022064743085,0.0,63.578571,2.0709339592360525,0.0,65.937336,1.488879009333513,0.0,65.937336,1.7231835313947035,0.0,65.937336,2.07341189851991,0.0,70.654866,1.4914599388867282,0.0,70.654866,1.739696684663597,5.0,4.816847,2.174169481313357,0.0,75.372396,1.4902752689932313,0.0,75.372396,1.7214039511324113,5.0,9.534377,2.1916377735890746
E01000025,0,75.89220779220778,78.75334402597403,84.47561649350648,90.19788896103894,0.377,3,0.0,75.892208,1.5092633600390446,0.0,75.892208,1.7264590907465245,0.0,75.892208,2.0783098094909676,0.0,78.753344,1.502639750917165,0.0,78.753344,1.733568081975792,5.0,12.915325,2.117435884741932,0.0,84.475616,1.5058601799656703,0.0,84.475616,1.7508346693622845,6.0,5.4699932,2.188797077410219,0.0,90.197889,1.5015805350365836,0.0,90.197889,1.732981279716971,6.0,11.192266,2.2017491400795106
E01000027,0,87.20064935064934,90.70611545454544,97.71704766233766,104.72797987012989,0.402,2,0.0,87.200649,1.284230555213205,6.0,8.195026,1.610599940368489,6.0,8.195026,1.81119038095382,0.0,90.706115,1.3283331298310466,6.0,11.700492,1.613545477587025,6.0,11.700492,1.8016135835042086,0.0,97.717048,1.303445616395969,0.0,97.717048,1.515247687229629,7.0,5.5438205,1.8332194766958707,0.0,104.72798,1.2913807937012844,0.0,104.72798,1.465254853430359,7.0,12.554753,1.8487401943672679
E01000028,0,64.33246753246752,67.18882909090908,72.9015522077922,78.6142753246753,0.444,2,0.0,64.332468,1.3495987012236597,0.0,64.332468,1.625622163268658,4.0,11.662052,1.8869148740255102,0.0,67.188829,1.3756908221037998,0.0,67.188829,1.6284811785849218,5.0,1.3508097,1.8770457708894197,0.0,72.901552,1.364482288476256,0.0,72.901552,1.5907770111341124,5.0,7.0635328,1.902796308741963,0.0,78.614275,1.3575259009142855,0.0,78.614275,1.5488920850002832,5.0,12.776256,1.9239189735320728
E01000029,0,97.88084415584412,99.79930870129868,103.63623779220777,107.47316688311686,0.196,7,0.0,97.880844,1.3592131846265343,7.0,5.707617,1.7198144940059437,7.0,5.707617,1.955656028039113,0.0,99.799309,1.3847207417394019,7.0,7.6260815,1.7198337268075936,7.0,7.6260815,1.9392850562458452,0.0,103.63624,1.3731228987346267,7.0,11.463011,1.6845759281124315,7.0,11.463011,1.9681487845758907,0.0,107.47317,1.3681518626074136,0.0,107.47317,1.5771023352463414,8.0,2.1323358,2.004992527588186
E01000030,0,99.5142857142857,103.68393428571429,112.0232314285714,120.36252857142856,0.419,2,0.0,99.514286,1.3359918211246802,7.0,7.3410585,1.687770176289309,7.0,7.3410585,1.9123909885079515,0.0,103.68393,1.3667680549283954,7.0,11.510707,1.6868231793069466,7.0,11.510707,1.8987491022477787,0.0,112.02323,1.351187609983901,0.0,112.02323,1.594713748147508,8.0,6.6824003,1.9335817990920603,0.0,120.36253,1.3436090262888483,0.0,120.36253,1.5388415826248456,9.0,1.8540936,1.9662145195245158
E01000031,0,86.82370129870128,88.95956435064933,93.23129045454544,97.50301655844154,0.246,6,0.0,86.823701,1.3343834844421851,6.0,7.818078,1.6779335694299484,6.0,7.818078,1.898746004792884,0.0,88.959564,1.3697621911119986,0.0,88.959564,1.6245354036505482,6.0,9.953941,1.8883747092832184,0.0,93.23129,1.3495784442712178,7.0,1.0580633,1.6586122456724812,7.0,1.0580633,1.9227460949562312,0.0,97.503017,1.3420848698263939,0.0,97.503017,1.5427748947220201,7.0,5.3297894,1.9499058162751703
E01000032,0,86.57240259740257,89.3513767207792,94.90932496753244,100.4672732142857,0.321,4,0.0,86.572403,1.392051983898548,6.0,7.5667793,1.7419782240195434,6.0,7.5667793,1.9937583504983958,0.0,89.351377,1.4085866408075842,6.0,10.345753,1.7446397721179718,6.0,10.345753,1.9755332549167774,0.0,94.909325,1.401979026609763,7.0,2.7360978,1.7367042931648604,7.0,2.7360978,2.014966371111008,0.0,100.46727,1.403877716616939,7.0,8.294046,1.6984981407956918,7.0,8.294046,2.050420049699937
E01000033,0,64.96071428571427,67.97489142857141,74.0032457142857,80.03159999999998,0.464,2,0.0,64.960714,1.3530313015727113,0.0,64.960714,1.6094003788029925,4.0,12.290299,1.8997788968612035,0.0,67.974891,1.3376895689969375,5.0,2.136872,1.6549327941670087,5.0,2.136872,1.9112937531752765,0.0,74.003246,1.3346546412362112,5.0,8.1652263,1.6591904995582034,5.0,8.1652263,1.9350671877019059,0.0,80.0316,1.3465519495050717,6.0,1.0259767,1.6454417369797874,6.0,1.0259767,1.9706414930779632
E01000034,0,70.36363636363635,72.7348909090909,77.47739999999997,82.21990909090907,0.337,4,0.0,70.363636,1.3342584241178281,5.0,4.5256169,1.6229836251854954,5.0,4.5256169,1.858860293358893,0.0,72.734891,1.3211348725812662,5.0,6.8968715,1.6272220725585493,5.0,6.8968715,1.8617120979963944,0.0,77.4774,1.3198542777511366,5.0,11.639381,1.6301170316482931,5.0,11.639381,1.8787786409362177,0.0,82.219909,1.2984315522055105,6.0,3.2142858,1.6152596018675005,6.0,3.2142858,1.9185124580887294
E01000035,3,79.34009749377476,82.02972679881373,87.40898540889165,92.78824401896958,0.339,4,0.0,39.837286,1.3874805125182035,3.0,0.33447418,1.6502965371429112,3.0,0.33447418,1.9146438192437987,0.0,42.526915,1.360552275408741,3.0,3.0241035,1.6463771916464656,3.0,3.0241035,1.921343814599,0.0,47.906174,1.355481469701306,0.0,47.906174,1.6275591439655361,3.0,8.4033621,1.9418002413655904,0.0,53.285432,1.3605007386225971,0.0,53.285432,1.6061061767320286,4.0,0.61501682,1.96661412164286
E01000036,0,62.82467532467531,64.73454545454544,68.5542857142857,72.37402597402595,0.304,4,0.0,62.824675,1.3524689953325568,0.0,62.824675,1.5738715982331926,4.0,10.15426,1.8681554000835077,0.0,64.734545,1.3246118725124174,0.0,64.734545,1.5734418098832996,4.0,12.06413,1.8769429805595914,0.0,68.554286,1.3171487167173601,0.0,68.554286,1.5795529381385125,0.0,68.554286,1.8586866870863747,0.0,72.374026,1.30440414854663,0.0,72.374026,1.5622362761639783,0.0,72.374026,1.86976361585985
E01000037,0,98.63474025974024,100.8540219155844,105.2925852272727,109.73114853896102,0.225,6,7.0,6.4615131,1.3940593880387848,7.0,6.4615131,1.6325141067671791,7.0,6.4615131,1.8509597190229412,7.0,8.6807947,1.3838310926089754,7.0,8.6807947,1.635811389307238,7.0,8.6807947,1.8522207427101078,7.0,13.119358,1.3835023076825141,7.0,13.119358,1.6366587842869138,7.0,13.119358,1.8629545555459155,0.0,109.73115,1.2839081173566362,8.0,4.3903175,1.6213653124693188,8.0,4.3903175,1.9155184042853441
E01000038,0,84.18506493506491,86.09606590909088,89.91806785714284,93.74006980519478,0.227,6,0.0,84.185065,1.3343280726447366,6.0,5.1794416,1.63799470776183,6.0,5.1794416,1.8623326953326635,0.0,86.096066,1.3311075160986006,6.0,7.0904426,1.6350842589325232,6.0,7.0904426,1.861899751134467,0.0,89.918068,1.3324194464677586,6.0,10.912445,1.6345577072634772,6.0,10.912445,1.874605903892963,0.0,93.74007,1.296237906925894,7.0,1.5668426,1.617284744995623,7.0,1.5668426,1.928025887225786
