lsoa_code,xj_A_p2000,sj_A_p2000,xj_B_p2000,sj_B_p2000,xj_C_p2000,sj_C_p2000,xj_D_p2000,sj_D_p2000,xj_A_p5000,sj_A_p5000,xj_B_p5000,sj_B_p5000,xj_C_p5000,sj_C_p5000,xj_D_p5000,sj_D_p5000,xj_A_p8000,sj_A_p8000,xj_B_p8000,sj_B_p8000,xj_C_p8000,sj_C_p8000,xj_D_p8000,sj_D_p8000
E01000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
E01000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
E01000003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
E01000005,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
E01000006,0,64.835065,0,67.058908,0,71.506593,0,75.954279,0,64.835065,0,67.058908,0,71.506593,0,75.954279,0,64.835065,0,67.058908,0,71.506593,0,75.954279
E01000007,0,66.468506,0,69.698876,0,76.159615,0,82.620354,0,66.468506,0,69.698876,0,76.159615,0,82.620354,0,66.468506,0,69.698876,0,76.159615,0,82.620354
E01000008,0,42.469481,0,44.635424,0,48.967311,0,53.299198,0,42.469481,0,44.635424,0,48.967311,0,53.299198,0,42.469481,0,44.635424,0,48.967311,0,53.299198
E01000009,0,48.405902,0,50.887315,0,55.850139,0,60.812964,0,48.405902,0,50.887315,0,55.850139,0,60.812964,0,48.405902,0,50.887315,0,55.850139,0,60.812964
E01000011,0,44.982468,0,46.876229,0,50.663753,0,54.451277,0,44.982468,0,46.876229,0,50.663753,0,54.451277,0,44.982468,0,46.876229,0,50.663753,0,54.451277
E01000012,0,50.072524,0,53.196586,0,59.444711,0,65.692836,0,50.072524,0,53.196586,0,59.444711,0,65.692836,0,50.072524,0,53.196586,0,59.444711,0,65.692836
E01000013,5,1.2587338,5,3.8553782,5,9.0486669,6,1.0743517,5,1.2587338,5,3.8553782,5,9.0486669,6,1.0743517,5,1.2587338,5,3.8553782,5,9.0486669,6,1.0743517
E01000014,0,77.651299,0,80.050724,0,84.849574,0,89.648424,0,77.651299,0,80.050724,0,84.849574,0,89.648424,5,11.813279,6,1.0451005,6,5.8439508,6,10.642801
E01000015,6,8.6976234,0,91.342931,0,98.622301,0,105.90167,6,8.6976234,0,91.342931,7,6.4490738,0,105.90167,6,8.6976234,6,12.337308,7,6.4490738,8,0.56083937
E01000016,0,77.4,0,80.09352,0,85.48056,6,11.861977,5,11.561981,0,80.09352,0,85.48056,0,90.8676,5,11.561981,6,1.0878967,6,6.4749367,0,90.8676
E01000017,0,70.614935,0,73.439532,0,79.088727,6,5.7322988,5,4.7769156,0,73.439532,0,79.088727,0,84.737922,5,4.7769156,5,7.601513,6,0.083103963,0,84.737922
E01000018,0,78.028247,0,81.008926,0,86.970284,0,92.931642,0,78.028247,0,81.008926,0,86.970284,0,92.931642,5,12.190227,6,2.0033025,6,7.9646605,7,0.75841469
E01000019,0,65.337662,0,68.042642,0,73.4526,0,78.862558,0,65.337662,5,2.2046221,0,73.4526,0,78.862558,4,12.667247,5,2.2046221,5,7.6145806,5,13.024539
E01000020,0,84.813312,0,87.637595,0,93.286162,0,98.934728,0,84.813312,6,8.6319717,0,93.286162,0,98.934728,6,5.8076884,6,8.6319717,7,1.1129343,7,6.7615009
E01000021,0,67.096753,0,70.169785,0,76.315847,0,82.46191,0,67.096753,5,4.3317651,0,76.315847,6,3.4562864,0,67.096753,5,4.3317651,5,10.477828,6,3.4562864
E01000022,0,62.824675,0,65.25599,0,70.11862,0,74.98125,0,62.824675,4,12.585575,0,70.11862,5,9.1432306,4,10.15426,4,12.585575,5,4.2806007,5,9.1432306
E01000024,0,63.578571,0,65.937336,0,70.654866,0,75.372396,0,63.578571,5,0.099317004,0,70.654866,0,75.372396,0,63.578571,0,65.937336,5,4.816847,5,9.534377
E01000025,0,75.892208,0,78.753344,0,84.475616,0,90.197889,0,75.892208,5,12.915325,0,84.475616,0,90.197889,0,75.892208,5,12.915325,6,5.4699932,6,11.192266
E01000027,0,87.200649,0,90.706115,0,97.717048,0,104.72798,6,8.195026,0,90.706115,7,5.5438205,0,104.72798,6,8.195026,6,11.700492,7,5.5438205,7,12.554753
E01000028,0,64.332468,0,67.188829,0,72.901552,0,78.614275,0,64.332468,0,67.188829,0,72.901552,0,78.614275,4,11.662052,5,1.3508097,5,7.0635328,5,12.776256
E01000029,0,97.880844,0,99.799309,0,103.63624,0,107.47317,7,5.707617,7,7.6260815,7,11.463011,0,107.47317,7,5.707617,7,7.6260815,7,11.463011,8,2.1323358
E01000030,0,99.514286,0,103.68393,0,112.02323,0,120.36253,7,7.3410585,0,103.68393,0,112.02323,0,120.36253,7,7.3410585,7,11.510707,8,6.6824003,9,1.8540936
E01000031,0,86.823701,0,88.959564,0,93.23129,0,97.503017,6,7.818078,0,88.959564,7,1.0580633,0,97.503017,6,7.818078,6,9.953941,7,1.0580633,7,5.3297894
E01000032,0,86.572403,0,89.351377,0,94.909325,0,100.46727,6,7.5667793,0,89.351377,7,2.7360978,7,8.294046,6,7.5667793,6,10.345753,7,2.7360978,7,8.294046
E01000033,0,64.960714,0,67.974891,0,74.003246,0,80.0316,0,64.960714,5,2.136872,5,8.1652263,6,1.0259767,4,12.290299,5,2.136872,5,8.1652263,6,1.0259767
E01000034,0,70.363636,0,72.734891,0,77.4774,0,82.219909,5,4.5256169,5,6.8968715,5,11.639381,6,3.2142858,5,4.5256169,5,6.8968715,5,11.639381,6,3.2142858
E01000035,0,39.837286,0,42.526915,0,47.906174,0,53.285432,3,0.33447418,3,3.0241035,0,47.906174,4,0.61501682,3,0.33447418,3,3.0241035,3,8.4033621,4,0.61501682
E01000036,0,62.824675,0,64.734545,0,68.554286,0,72.374026,0,62.824675,0,64.734545,0,68.554286,0,72.374026,4,10.15426,4,12.06413,0,68.554286,5,6.5360065
E01000037,7,6.4615131,7,8.6807947,0,105.29259,0,109.73115,7,6.4615131,7,8.6807947,0,105.29259,8,4.3903175,7,6.4615131,7,8.6807947,0,105.29259,8,4.3903175
E01000038,0,84.185065,0,86.096066,0,89.918068,0,93.74007,6,5.1794416,6,7.0904426,6,10.912445,7,1.5668426,6,5.1794416,6,7.0904426,6,10.912445,7,1.5668426
E01000039,0,92.603571,0,94.65011,0,98.743188,0,102.83627,7,0.43034423,7,2.4768832,7,6.569961,7,10.663039,7,0.43034423,7,2.4768832,7,6.569961,7,10.663039
E01000040,0,64.709416,0,67.686049,0,73.639315,0,79.592581,4,12.039,0,67.686049,0,73.639315,6,0.58695786,0,64.709416,5,1.8480293,5,7.8012955,6,0.58695786
E01000041,0,75.640909,0,78.424495,0,83.991665,0,89.558836,0,75.640909,0,78.424495,0,83.991665,0,89.558836,5,9.8028897,5,12.586475,6,4.9860421,0,89.558836
E01000042,0,61.191234,0,64.311987,0,70.553493,0,76.794998,0,61.191234,4,11.641571,0,70.553493,0,76.794998,4,8.5208182,4,11.641571,5,4.7154731,5,10.956979
E01000043,0,59.93474,0,61.738776,0,65.346847,0,68.954919,0,59.93474,0,61.738776,0,65.346847,0,68.954919,0,59.93474,0,61.738776,4,12.676432,5,3.1168992
E01000044,0,58.929545,0,61.186547,0,65.70055,0,70.214553,0,58.929545,0,61.186547,0,65.70055,0,70.214553,0,58.929545,0,61.186547,0,65.70055,0,70.214553
E01000045,0,65.84026,0,68.421198,0,73.583074,0,78.744951,0,65.84026,0,68.421198,0,73.583074,0,78.744951,0,65.84026,0,68.421198,5,7.7450549,0,78.744951
E01000046,0,76.394805,0,79.313087,0,85.14965,0,90.986213,0,76.394805,0,79.313087,0,85.14965,0,90.986213,5,10.556786,6,0.30746344,6,6.1440266,0,90.986213
E01000049,0,49.868076,0,51.94195,0,56.089698,0,60.237446,0,49.868076,0,51.94195,0,56.089698,0,60.237446,0,49.868076,0,51.94195,0,56.089698,0,60.237446
E01000050,0,56.793506,0,58.997095,0,63.404271,0,67.811447,0,56.793506,0,58.997095,0,63.404271,0,67.811447,0,56.793506,0,58.997095,0,63.404271,0,67.811447
E01000051,0,16.108695,0,17.707181,0,20.904153,0,24.101124,0,16.108695,0,17.707181,0,20.904153,0,24.101124,0,16.108695,0,17.707181,0,20.904153,0,24.101124
E01000052,0,75.138312,0,78.226496,0,84.402866,0,90.579235,0,75.138312,0,78.226496,0,84.402866,0,90.579235,5,9.3002923,5,12.388477,6,5.3972422,6,11.573611
E01000053,0,57.068765,0,59.843101,0,65.391774,0,70.940447,0,57.068765,0,59.843101,0,65.391774,0,70.940447,4,4.3983491,4,7.1726857,4,12.721359,5,5.1024281
E01000054,0,77.651299,0,80.485571,0,86.154116,0,91.822661,0,77.651299,0,80.485571,0,86.154116,0,91.822661,5,11.813279,6,1.4799478,6,7.1484926,0,91.822661
E01000055,0,68.227597,0,70.827069,0,76.026012,0,81.224955,0,68.227597,0,70.827069,0,76.026012,0,81.224955,5,2.389578,5,4.9890494,5,10.187992,6,2.2193314
E01000056,0,66.971104,0,70.165626,0,76.554669,0,82.943712,0,66.971104,0,70.165626,0,76.554669,0,82.943712,5,1.1330845,5,4.3276061,5,10.716649,6,3.9380889
E01000057,0,28.070961,0,29.964296,0,33.750965,2,11.202427,0,28.070961,0,29.964296,0,33.750965,2,11.202427,0,28.070961,0,29.964296,2,7.4157573,0,37.537634
E01000058,0,79.536039,0,82.526594,0,88.507704,0,94.488814,0,79.536039,0,82.526594,0,88.507704,0,94.488814,6,0.53041565,6,3.5209707,6,9.5020808,7,2.3155871
E01000059,0,66.395941,0,69.427313,0,75.490055,0,81.552797,0,66.395941,0,69.427313,0,75.490055,0,81.552797,5,0.55792201,0,69.427313,5,9.6520352,6,2.5471735
E01000060,0,80.541234,0,83.819262,0,90.375318,7,4.7581476,0,80.541234,6,4.8136387,6,11.369695,7,4.7581476,6,1.5356105,6,4.8136387,6,11.369695,7,4.7581476
E01000061,0,58.426948,0,62.458407,0,70.521326,0,78.584245,0,58.426948,0,62.458407,0,70.521326,0,78.584245,4,5.7565325,4,9.7879919,5,4.6833069,5,12.746226
E01000062,6,12.542867,0,95.276384,0,102.73217,8,4.8471245,0,91.548491,7,3.1031565,7,10.558942,8,4.8471245,6,12.542867,7,3.1031565,7,10.558942,8,4.8471245
E01000063,0,73.630519,0,76.030874,0,80.831584,0,85.632294,5,7.7925001,0,76.030874,0,80.831584,0,85.632294,5,7.7925001,5,10.192855,6,1.825961,6,6.6266708
E01000064,0,94.86526,0,98.517572,0,105.8222,8,7.7859912,7,2.6920325,7,6.344345,8,0.48136616,8,7.7859912,7,2.6920325,7,6.344345,8,0.48136616,8,7.7859912
E01000065,5,12.85922,0,83.024074,0,91.677742,0,100.33141,0,78.69724,6,4.0184506,0,91.677742,0,100.33141,5,12.85922,6,4.0184506,0,91.677742,7,8.1581833
E01000066,0,92.403438,0,95.127171,0,100.57464,0,106.0221,0,92.403438,7,2.9539441,7,8.4014099,8,0.68127178,7,0.23021121,7,2.9539441,7,8.4014099,8,0.68127178
E01000067,7,0.43034423,0,95.474282,7,9.0424764,0,106.95713,0,92.603571,7,3.3010549,7,9.0424764,8,1.6162939,7,0.43034423,7,3.3010549,7,9.0424764,8,1.6162939
E01000068,0,67.222403,0,69.030685,0,72.64725,0,76.263816,0,67.222403,5,3.1926658,0,72.64725,0,76.263816,0,67.222403,0,69.030685,0,72.64725,0,76.263816
E01000069,6,6.0567359,6,7.7462913,0,90.131025,0,93.510136,6,6.0567359,6,7.7462913,6,11.125402,0,93.510136,6,6.0567359,6,7.7462913,6,11.125402,7,1.3369089
E01000070,0,65.678562,0,67.859288,0,72.220741,0,76.582193,0,65.678562,5,2.0212685,0,72.220741,0,76.582193,0,65.678562,0,67.859288,0,72.220741,0,76.582193
E01000071,8,4.9792988,0,113.36497,9,0.94620166,0,125.54431,8,4.9792988,8,8.0241344,9,0.94620166,9,7.0358728,8,4.9792988,8,8.0241344,9,0.94620166,9,7.0358728
E01000072,0,79.28474,0,82.908053,0,90.154678,0,97.401303,0,79.28474,6,3.9024296,0,90.154678,0,97.401303,6,0.27911695,6,3.9024296,6,11.149055,7,5.2280762
E01000073,0,77.525649,0,80.742964,0,87.177593,0,93.612222,0,77.525649,6,1.7373405,0,87.177593,0,93.612222,0,77.525649,0,80.742964,6,8.1719694,7,1.4389944
E01000074,0,70.237987,0,72.977269,0,78.455831,0,83.934394,0,70.237987,5,7.1392491,0,78.455831,0,83.934394,5,4.3999676,5,7.1392491,5,12.617812,0,83.934394
E01000075,0,72.112041,0,74.71307,0,79.915128,0,85.117187,0,72.112041,0,74.71307,0,79.915128,0,85.117187,5,6.2740214,5,8.8750506,6,0.90950501,6,6.1115633
E01000076,0,82.928571,0,85.97205,0,92.059007,0,98.145964,0,82.928571,6,6.9664267,0,92.059007,0,98.145964,6,3.9229481,6,6.9664267,6,13.053384,7,5.9727371
E01000077,0,64.709416,0,67.336618,0,72.591022,0,77.845427,0,64.709416,0,67.336618,0,72.591022,0,77.845427,4,12.039,5,1.4985984,5,6.753003,5,12.007408
E01000078,0,74.384416,0,77.382108,0,83.377491,0,89.372875,0,74.384416,0,77.382108,6,4.3718681,0,89.372875,0,74.384416,0,77.382108,6,4.3718681,6,10.367252
E01000079,0,72.058424,0,75.203265,0,81.492946,0,87.782627,0,72.058424,0,75.203265,0,81.492946,0,87.782627,5,6.220405,5,9.3652455,6,2.4873225,0,87.782627
E01000080,0,72.876623,0,75.390867,0,80.419354,0,85.447841,0,72.876623,0,75.390867,0,80.419354,0,85.447841,5,7.038604,0,75.390867,6,1.4137306,6,6.4422176
E01000081,0,82.425974,0,85.162516,0,90.635601,0,96.108686,0,82.425974,0,85.162516,0,90.635601,0,96.108686,6,3.4203507,6,6.1568931,6,11.629978,7,3.9354585
E01000082,0,86.069805,0,89.469562,0,96.269077,7,10.895365,6,7.0641819,0,89.469562,0,96.269077,7,10.895365,6,7.0641819,6,10.463939,7,4.0958499,7,10.895365
E01000083,0,83.03343,0,87.112354,0,95.270202,0,103.42805,0,83.03343,0,87.112354,0,95.270202,0,103.42805,6,4.027807,6,8.1067309,7,3.0969747,7,11.254822
E01000084,0,29.633256,0,31.670509,0,35.745013,0,39.819517,0,29.633256,0,31.670509,0,35.745013,0,39.819517,2,3.2980487,2,5.3353008,2,9.409805,3,0.31670529
E01000085,0,56.667857,0,59.087575,0,63.92701,0,68.766445,0,56.667857,0,59.087575,4,11.256594,0,68.766445,4,3.9974416,4,6.4171591,4,11.256594,5,2.9284252
E01000086,0,53.777922,0,56.128017,0,60.828208,0,65.528398,0,53.777922,0,56.128017,0,60.828208,0,65.528398,0,53.777922,0,56.128017,0,60.828208,4,12.857983
E01000087,0,50.213267,0,53.033716,0,58.674613,0,64.315511,0,50.213267,0,53.033716,0,58.674613,0,64.315511,0,50.213267,0,53.033716,0,58.674613,4,11.645095
