scenario,alpha,p,status,solve_seconds,objective,slack_total
A,0.0,2000,Optimal,11.788756847381592,1048428077161.1146,150434.043505249
B,0.1,2000,Optimal,15.378543853759766,1090725238336.955,156503.515577972
C,0.3,2000,Optimal,13.317842960357666,1175593086001.5134,168681.630142023
D,0.5,2000,Optimal,14.99840784072876,1260593044026.7976,180878.59489774596
A,0.0,5000,Optimal,29.91906499862671,773145496726.3973,110931.23186734099
B,0.1,5000,Optimal,64.93814396858215,815442659008.1053,117000.703910938
C,0.3,5000,Optimal,38.84773015975952,900310505876.1145,129178.818548502
D,0.5,5000,Optimal,23.214039087295532,985310463441.946,141375.783238294
A,0.0,8000,Optimal,93.36403584480286,497862916188.12506,71428.420206919
B,0.1,8000,Optimal,64.11957097053528,540160077338.85394,77497.89228368
C,0.3,8000,Optimal,74.85484027862549,625027925321.944,89676.006892884
D,0.5,8000,Optimal,55.368473052978516,710027882739.528,101872.97156197099
