scenario,p,K,status,slack_total,slack_frac,objective,M1_avg_dist_m,M2_coverage_800m,M3_imd_gap,M4_gini
A,100,17.160246660478446,Optimal,175179.107859591,0.485073814461839,126350867.19138297,369.1233317200574,0.8339438384258109,0.16201646989748297,0.3638748317755835
A,250,17.041166488426647,Optimal,173085.12831995002,0.479275550872594,116558271.14405206,340.5150937274813,0.8500646233619785,0.1599702913467188,0.35906087086668975
A,500,16.84633013874647,Optimal,169671.61261867103,0.46982347007268527,112931617.69323844,329.9201335620662,0.8557762934124549,0.13284283380833795,0.35227216930445715
B,100,17.160246660478446,Optimal,175211.60340843198,0.48516379516799696,126488778.63947482,370.48925251029107,0.8322343752236857,0.177752111124863,0.3638790967070241
B,250,17.041166488426647,Optimal,173117.697716996,0.4793657360656392,121046158.34116046,354.58121092410755,0.8428986064773129,0.18204323857451343,0.3594738632678174
B,500,16.84633013874647,Optimal,169705.965910246,0.46991859489885435,111490866.64698167,326.4909014314383,0.8587477567195633,0.14728682190913223,0.3518684376552873
C,100,17.160246660478446,Optimal,175272.23064297801,0.48533167297192487,131623463.89288539,388.05477245085063,0.8315938312495159,0.17256567995020633,0.3640815929503918
C,250,17.041166488426647,Optimal,173178.57583776,0.4795343085776076,121073818.59122413,356.11968278797747,0.8422217221859839,0.1501152607852806,0.3590759212416409
C,500,16.84633013874647,Optimal,169776.04774381002,0.4701126526420792,113803911.6888054,334.47630594935595,0.8532475212416495,0.1308471259391829,0.35207544893521514
D,100,17.160246660478446,Optimal,175328.09611111,0.4854863653667805,128617003.76772642,381.1951049064821,0.8334038727031726,0.1722853323191439,0.36367727691847745
D,250,17.041166488426647,Optimal,173241.63682735,0.47970892548905275,120109569.21582317,354.63637129397034,0.8451058219023458,0.14151944067802502,0.3590722295073538
D,500,16.84633013874647,Optimal,169841.0134251,0.47029254367599005,108757440.76256016,321.14282536317575,0.8604032600568157,0.11715632719149527,0.3512649542045324
