evse_uid,device_id,connector_id,location_record_id,location_id_x_source,evse_location_id,address,borough,latitude,longitude,created_at_y,deleted_at_y
1c5f2d35f902cc1d2954da3f93f3aecd,D6S1LCZ,187b856573a1062eae337307c16071c8,AS72JSH,AS72JSH,3PGKIPZ,Richmond Road 383,Richmond upon Thames,51.455903,-0.310271,2025-06-24 13:26:10,
2533ba863b3fecf6705648b50cea1378,BBFV1D9,53ac4d6bdbfbf5b415b84459a32c716a,LNSJ7YT,LNSJ7YT,AVZX62I,Amor Road,Hammersmith and Fulham,51.498219,-0.228258,2024-04-15 09:49:08,2025-09-18 13:57:30
6bafb66e13c2aadc322c60b5c6c40f20,1XJ76K8,e390745dbca9d1a6c64d24dd5e1a334d,AS72JSH,AS72JSH,3PGKIPZ,Richmond Road 383,Richmond upon Thames,51.455903,-0.310271,2025-06-24 13:26:10,2025-09-08 15:21:08
876e2828fa6d4df46c92324da2473cae,2A6Z9U4,7c782fecf5e4aea82d603a4731fb0a44,DGJVIPV,DGJVIPV,2S5DK0F,Eastern Avenue West,Havering,51.582849,0.16728,2025-02-05 16:44:16,
8f67213c6b844de1951d7b22009013ee,0B6S57W,168c0cae0bae48cd8cac92bce0059380,JLN6DKW,JLN6DKW,AVZX62I,6 AMOR ROAD,Hammersmith and Fulham,51.498219,-0.228258,2023-08-09 16:11:54,2025-09-18 13:57:30
8fad7d8db90a92566ece05f08c857d52,2A6Z9U4,45ca26211db5a6dedf57df590ed6ae1d,DGJVIPV,DGJVIPV,2S5DK0F,Eastern Avenue West,Havering,51.582849,0.16728,2025-02-05 16:44:16,
9367875122714672982e42f189c1d63f,RIMLTHH,498004c2a530b9db8d4595eb3d8795c8,BAJMSSV,BAJMSSV,B2BOYKX,33 Horseferry Road,Westminster,51.494778,-0.130215,2016-04-14 10:11:12,
9367875122714672982e42f189c1d63f,RIMLTHH,7d3a8588ad4b42edbf16653d3fa023df,BAJMSSV,BAJMSSV,B2BOYKX,33 Horseferry Road,Westminster,51.494778,-0.130215,2016-04-14 10:11:12,2024-11-26 14:33:39
9367875122714672982e42f189c1d63f,RIMLTHH,498004c2a530b9db8d4595eb3d8795c8,BAJMSSV,BAJMSSV,B2BOYKX,33 Horseferry Road,Westminster,51.494778,-0.130215,2016-04-14 10:11:12,
c13f5207a80dde61ad371e5dfae299ed,6EEDYMM,0e4f4f39eee3d19c39d1d84a2242411a,146QHX9,146QHX9,8GBWWLC,Clive Road,Lambeth,51.428968,-0.089953,2024-11-06 17:06:00,
d114c868f8c7f831b613403a86e25651,H7U0NP5,d4b79462a4026d90a9d1a4a788fbcd8e,AS72JSH,AS72JSH,3PGKIPZ,Richmond Road 383,Richmond upon Thames,51.455903,-0.310271,2025-06-24 13:26:10,2025-09-08 15:21:08
e5f4cd1a04264e59afb5a81251757018,GWZEQMR,4de51946f073471d9aa2afad52822863,BAJMSSV,BAJMSSV,B2BOYKX,33 Horseferry Road,Westminster,51.494778,-0.130215,2016-04-14 10:11:12,2024-11-26 14:33:39
e5f4cd1a04264e59afb5a81251757018,GWZEQMR,733a05d9cd67543398785a8f21bccc36,BAJMSSV,BAJMSSV,B2BOYKX,33 Horseferry Road,Westminster,51.494778,-0.130215,2016-04-14 10:11:12,
e5f4cd1a04264e59afb5a81251757018,GWZEQMR,733a05d9cd67543398785a8f21bccc36,BAJMSSV,BAJMSSV,B2BOYKX,33 Horseferry Road,Westminster,51.494778,-0.130215,2016-04-14 10:11:12,
