lsoa_code,lsoa_name,ej,seff,ubar_i,has_evse_i,desert_condition
E01000001,City of London 001A,1,0.0,0.0,True,B_underutilised
E01000002,City of London 001B,1,0.3740079365079364,0.06233465608465607,True,normal
E01000003,City of London 001C,0,0.0,,False,A_true_desert
E01000005,City of London 001E,0,0.0,,False,A_true_desert
E01032739,City of London 001F,13,0.0,0.0,True,B_underutilised
E01032740,City of London 001G,0,0.0,,False,A_true_desert
E01000027,Barking and Dagenham 001A,0,0.0,,False,A_true_desert
E01000028,Barking and Dagenham 001B,0,0.0,,False,A_true_desert
E01000029,Barking and Dagenham 001C,0,0.0,,False,A_true_desert
E01000030,Barking and Dagenham 001D,0,0.0,,False,A_true_desert
E01000031,Barking and Dagenham 002A,0,0.0,,False,A_true_desert
E01000032,Barking and Dagenham 002B,0,0.0,,False,A_true_desert
E01000110,Barking and Dagenham 002C,0,0.0,,False,A_true_desert
E01000111,Barking and Dagenham 002D,1,0.006646825396825298,0.0022156084656084324,True,B_underutilised
E01000112,Barking and Dagenham 002E,0,0.0,,False,A_true_desert
E01000113,Barking and Dagenham 002F,3,0.2598214285714282,0.02358630952380948,True,normal
E01000034,Barking and Dagenham 003A,0,0.0,,False,A_true_desert
E01000037,Barking and Dagenham 003B,0,0.0,,False,A_true_desert
E01000038,Barking and Dagenham 003C,0,0.0,,False,A_true_desert
E01000039,Barking and Dagenham 003D,0,0.0,,False,A_true_desert
E01000063,Barking and Dagenham 004A,0,0.0,,False,A_true_desert
E01000100,Barking and Dagenham 004B,0,0.0,,False,A_true_desert
E01000101,Barking and Dagenham 004C,1,0.0301587301587301,0.0301587301587301,True,normal
E01000114,Barking and Dagenham 004E,0,0.0,,False,A_true_desert
E01034469,Barking and Dagenham 004F,0,0.0,,False,A_true_desert
E01034470,Barking and Dagenham 004G,0,0.0,,False,A_true_desert
E01000033,Barking and Dagenham 006A,0,0.0,,False,A_true_desert
E01000060,Barking and Dagenham 006B,0,0.0,,False,A_true_desert
E01000061,Barking and Dagenham 006C,0,0.0,,False,A_true_desert
E01000062,Barking and Dagenham 006D,1,0.0004960317460316,0.0002480158730158,True,B_underutilised
E01000064,Barking and Dagenham 006E,0,0.0,,False,A_true_desert
E01000065,Barking and Dagenham 007A,1,0.06339285714285695,0.015848214285714236,True,normal
E01000078,Barking and Dagenham 007B,0,0.0,,False,A_true_desert
E01000080,Barking and Dagenham 007C,0,0.0,,False,A_true_desert
E01000081,Barking and Dagenham 007D,0,0.0,,False,A_true_desert
E01000082,Barking and Dagenham 007E,0,0.0,,False,A_true_desert
E01000083,Barking and Dagenham 007F,1,0.0274801587301585,0.006870039682539625,True,normal
E01000102,Barking and Dagenham 007G,0,0.0,,False,A_true_desert
E01000021,Barking and Dagenham 008A,0,0.0,,False,A_true_desert
E01000022,Barking and Dagenham 008B,0,0.0,,False,A_true_desert
E01000024,Barking and Dagenham 008D,0,0.0,,False,A_true_desert
E01000025,Barking and Dagenham 008E,0,0.0,,False,A_true_desert
E01000077,Barking and Dagenham 008F,0,0.0,,False,A_true_desert
E01034471,Barking and Dagenham 008G,0,0.0,,False,A_true_desert
E01034472,Barking and Dagenham 008H,0,0.0,,False,A_true_desert
E01000015,Barking and Dagenham 009A,0,0.0,,False,A_true_desert
E01000016,Barking and Dagenham 009B,0,0.0,,False,A_true_desert
E01000017,Barking and Dagenham 009C,0,0.0,,False,A_true_desert
E01000018,Barking and Dagenham 009D,0,0.0,,False,A_true_desert
E01000079,Barking and Dagenham 009E,1,0.031051587301587098,0.010350529100529032,True,normal
E01000035,Barking and Dagenham 010A,3,1.7329365079365078,0.28877314814814814,True,normal
E01000036,Barking and Dagenham 010B,0,0.0,,False,A_true_desert
E01000107,Barking and Dagenham 010C,0,0.0,,False,A_true_desert
E01000108,Barking and Dagenham 010D,0,0.0,,False,A_true_desert
E01000066,Barking and Dagenham 011A,1,0.00029761904761904765,9.920634920634922e-05,True,B_underutilised
E01000067,Barking and Dagenham 011B,0,0.0,,False,A_true_desert
E01000069,Barking and Dagenham 011C,1,0.881547619047619,0.4407738095238095,True,normal
E01000070,Barking and Dagenham 011D,2,0.6991071428571427,0.11651785714285712,True,normal
E01000071,Barking and Dagenham 011E,0,0.0,,False,A_true_desert
E01000057,Barking and Dagenham 012A,2,0.0,0.0,True,B_underutilised
E01000073,Barking and Dagenham 012B,0,0.0,,False,A_true_desert
E01000074,Barking and Dagenham 012C,0,0.0,,False,A_true_desert
E01000075,Barking and Dagenham 012D,1,0.6279761904761905,0.31398809523809523,True,normal
E01000076,Barking and Dagenham 012E,0,0.0,,False,A_true_desert
E01000013,Barking and Dagenham 013A,0,0.0,,False,A_true_desert
E01000014,Barking and Dagenham 013B,0,0.0,,False,A_true_desert
