evse_uid,location_record_id,location_id_x_source,evse_location_id,address,borough,deleted_at_y
1c5f2d35f902cc1d2954da3f93f3aecd,AS72JSH,AS72JSH,3PGKIPZ,Richmond Road 383,Richmond upon Thames,
6bafb66e13c2aadc322c60b5c6c40f20,AS72JSH,AS72JSH,3PGKIPZ,Richmond Road 383,Richmond upon Thames,2025-09-08 15:21:08
d114c868f8c7f831b613403a86e25651,AS72JSH,AS72JSH,3PGKIPZ,Richmond Road 383,Richmond upon Thames,2025-09-08 15:21:08
9367875122714672982e42f189c1d63f,BAJMSSV,BAJMSSV,B2BOYKX,33 Horseferry Road,Westminster,
9367875122714672982e42f189c1d63f,BAJMSSV,BAJMSSV,B2BOYKX,33 Horseferry Road,Westminster,2024-11-26 14:33:39
9367875122714672982e42f189c1d63f,BAJMSSV,BAJMSSV,B2BOYKX,33 Horseferry Road,Westminster,
e5f4cd1a04264e59afb5a81251757018,BAJMSSV,BAJMSSV,B2BOYKX,33 Horseferry Road,Westminster,2024-11-26 14:33:39
e5f4cd1a04264e59afb5a81251757018,BAJMSSV,BAJMSSV,B2BOYKX,33 Horseferry Road,Westminster,
e5f4cd1a04264e59afb5a81251757018,BAJMSSV,BAJMSSV,B2BOYKX,33 Horseferry Road,Westminster,
876e2828fa6d4df46c92324da2473cae,DGJVIPV,DGJVIPV,2S5DK0F,Eastern Avenue West,Havering,
8fad7d8db90a92566ece05f08c857d52,DGJVIPV,DGJVIPV,2S5DK0F,Eastern Avenue West,Havering,
8f67213c6b844de1951d7b22009013ee,JLN6DKW,JLN6DKW,AVZX62I,6 AMOR ROAD,Hammersmith and Fulham,2025-09-18 13:57:30
2533ba863b3fecf6705648b50cea1378,LNSJ7YT,LNSJ7YT,AVZX62I,Amor Road,Hammersmith and Fulham,2025-09-18 13:57:30
