scenario,p,K,objective,n_lsoa_with_xj_gt_0,M1_avg_dist_m,M2_coverage_800m,M3_imd_gap,M4_gini
A,100,16.70702596904573,101788925.32852772,100,297.36770379707144,0.8666280994344492,0.0633764174647059,0.3520561670218103
A,250,16.70702596904573,79327017.31677921,250,231.74714648401877,0.9166984491494347,-0.06702035502492343,0.3264597399010692
A,500,16.70702596904573,54712570.66519725,500,159.83813027825434,0.9636750999450491,-0.059833348295546096,0.2809049302536301
B,100,16.70702596904573,102777501.94117728,100,300.606330467069,0.8637340887224983,0.0938122223789285,0.35265638588417264
B,250,16.70702596904573,79046035.30802989,250,230.72749482743885,0.9185426284767865,-0.04808176135515907,0.3268554396340056
B,500,16.70702596904573,54805036.58565783,500,159.5289489948848,0.9640660336599435,-0.05331652226797867,0.28090307734469194
C,100,16.70702596904573,103436635.93477698,100,303.43077515714856,0.8614050047591133,0.11143342751200325,0.3530586800044891
C,250,16.70702596904573,78892913.91305958,250,230.42726469094606,0.9198545506336246,-0.018154185865108086,0.32785121320070554
C,500,16.70702596904573,53965722.06518003,500,156.45663174011307,0.9692168147748718,-0.02754072707050792,0.2810949067427245
D,100,16.70702596904573,101412053.91420302,100,298.6319234434145,0.8640229758902185,0.11595968523286748,0.35325099017260836
D,250,16.70702596904573,79089431.31394893,250,231.8119437179676,0.9172666795631967,0.02172325410094078,0.3284510861146316
D,500,16.70702596904573,53979875.381479055,500,156.38773343290046,0.970256735163882,-0.02054209302108534,0.28129293050710036
