scenario,alpha,p,K,U_j,k,status,runtime_seconds,reported_gap,distance_objective,penalised_objective,A_bar,A_bar_pct_change_vs_alpha0,absolute_mean_distance_m,D0_weighted_own_assignment_share,total_slack,slack_share_of_demand,n_lsoas_with_x_j_gt_0,maximum_x_j,assignment_sum_error,budget_error,maximum_capacity_violation,solver_status_acceptable,assignment_constraints_ok,budget_constraint_ok,capacity_constraints_ok,own_assignment_not_dominant
A,0.0,2000,13.167603884987075,150,40,Optimal,13.861573959002271,0.0,92102399.06667927,1288504283.6225557,2.0823067526656707,0.0,265.3095520926244,0.7899182449900094,151460.97784690902,0.4362974754108451,276,10.0,1.4999999908837935e-08,0.0,4.935064922051424e-06,True,True,True,True,True
B,0.1,2000,13.167603884987075,150,40,Optimal,14.782187375007197,0.0,93556755.77076519,1337474355.0127034,2.083101539450674,0.03816857357763852,262.96696341697077,0.7910666511671022,157476.32829256402,0.4426544797621173,270,10.0,1.1000000021965661e-08,0.0,5.000000001587068e-06,True,True,True,True,True
C,0.3,2000,13.167603884987075,150,40,Optimal,16.233778540976346,0.0,96552395.19313909,1436160465.4623528,2.081014539246082,-0.06205682318103644,258.7093558678327,0.7925511854214873,169590.461929024,0.4547122992251844,262,10.0,1.999999987845058e-08,0.0,5.000000001587068e-06,True,True,True,True,True
D,0.5,2000,13.167603884987075,150,40,Optimal,11.380838833982125,0.0,100298861.23978798,1535684781.4241323,2.083543467653916,0.059391585157293904,256.62649722463203,0.7945954714345106,181715.657477011,0.4657349012665098,251,11.0,1.2999999965401798e-08,0.0,5.000000001587068e-06,True,True,True,True,True
A,0.0,5000,13.167603884987075,150,40,Optimal,28.72646849998273,0.0,92102399.06667927,976468543.7318473,2.294772570237683,0.0,265.3095520926244,0.7899182449900094,111958.166210521,0.3225059415544699,742,10.0,1.4999999908837935e-08,0.0,4.935064922051424e-06,True,True,True,True,True
B,0.1,5000,13.167603884987075,150,40,Optimal,38.717725957976654,0.0,93556755.77076519,1025438614.9942275,2.2963028712450937,0.06668639094166547,262.96696341697077,0.7910666511671022,117973.51664000099,0.3316149557219071,736,11.0,1.1000000021965661e-08,0.0,4.9999999873762135e-06,True,True,True,True,True
C,0.3,5000,13.167603884987075,150,40,Optimal,29.796902665984817,0.0,96552395.19313909,1124124725.558074,2.2996701661621137,0.21342402240425812,258.7093558678327,0.7925511854214873,130087.65029091798,0.3487958809224848,707,11.0,1.999999987845058e-08,0.0,4.9999999873762135e-06,True,True,True,True,True
D,0.5,5000,13.167603884987075,150,40,Optimal,25.93121125001926,0.0,100298863.7474391,1223649044.163216,2.2985652353165307,0.16527411596413502,256.6265033462617,0.7945954613013119,142212.84585608568,0.36448970134559094,666,13.0,1.2999999965401798e-08,0.0,5.000000001587068e-06,True,True,True,True,True
A,0.0,8000,13.167603884987075,150,40,Optimal,66.22370429197326,0.0,92102399.06667927,664432803.6347442,2.5183092988096223,0.0,265.3095520926244,0.7899182449900094,72455.35454800399,0.20871440762282764,1292,11.0,1.4999999908837935e-08,0.0,4.935064922051424e-06,True,True,True,True,True
B,0.1,8000,13.167603884987075,150,40,Optimal,63.11803566699382,0.0,93556755.77076519,713402875.0910707,2.5195619610128266,0.049742190278073556,262.96696341697077,0.7910666511671022,78470.70500203701,0.22057543172273378,1264,11.0,1.1000000021965661e-08,0.0,4.9999999873762135e-06,True,True,True,True,True
C,0.3,8000,13.167603884987075,150,40,Optimal,54.08937025000341,0.0,96552395.19313909,812088985.4873459,2.523177117596559,0.19329709774878878,258.7093558678327,0.7925511854214873,90584.83863173999,0.2428794625632862,1199,11.0,1.999999987845058e-08,0.0,4.9999999873762135e-06,True,True,True,True,True
D,0.5,8000,13.167603884987075,150,40,Optimal,60.62092520901933,0.0,100299115.3023741,911613555.7267932,2.5214011211682847,0.12277373395412255,256.6315887573102,0.7945930933980526,102710.0342069557,0.2632445013523839,1122,13.0,1.2999999965401798e-08,0.0,5.000000001587068e-06,True,True,True,True,True
