scenario,alpha,p,decile,mean_delta_A_i,capacity_units,capacity_share,baseline_demand_share
A,0.0,5000,1,0.0,225.0,0.045,0.07185604230825259
A,0.0,5000,2,0.0,318.0,0.0636,0.08228512534625118
A,0.0,5000,3,0.0,341.0,0.0682,0.08867989667510112
A,0.0,5000,4,0.0,477.0,0.0954,0.09425749074402992
A,0.0,5000,5,0.0,530.0,0.106,0.09844058132751518
A,0.0,5000,6,0.0,533.0,0.1066,0.10194719450686605
A,0.0,5000,7,0.0,530.0,0.106,0.10679671409307762
A,0.0,5000,8,0.0,662.0,0.1324,0.11247238493910425
A,0.0,5000,9,0.0,727.0,0.1454,0.11909902001358158
A,0.0,5000,10,0.0,657.0,0.1314,0.12416555004622068
B,0.1,5000,1,0.0010110744076538768,204.0,0.0408,0.07185604230825259
B,0.1,5000,2,0.001937875976828619,337.0,0.0674,0.08228512534625118
B,0.1,5000,3,0.0018028518021961587,360.0,0.072,0.08867989667510112
B,0.1,5000,4,-0.0006927842801869934,434.0,0.0868,0.09425749074402992
B,0.1,5000,5,0.002321023194294526,599.0,0.1198,0.09844058132751518
B,0.1,5000,6,-0.0014218555371665175,509.0,0.1018,0.10194719450686605
B,0.1,5000,7,-0.0011525184452842042,504.0,0.1008,0.10679671409307762
B,0.1,5000,8,0.0024339032371590557,661.0,0.1322,0.11247238493910425
B,0.1,5000,9,0.003567538248306297,717.0,0.1434,0.11909902001358158
B,0.1,5000,10,0.00438554424170341,675.0,0.135,0.12416555004622068
C,0.3,5000,1,-0.018951411170823322,86.0,0.0172,0.07185604230825259
C,0.3,5000,2,-0.0020242583184254498,296.0,0.0592,0.08228512534625118
C,0.3,5000,3,0.005436158430425351,378.0,0.0756,0.08867989667510112
C,0.3,5000,4,0.0004952450211705191,454.0,0.0908,0.09425749074402992
C,0.3,5000,5,0.0007605297783815363,563.0,0.1126,0.09844058132751518
C,0.3,5000,6,0.0022784311079854657,557.0,0.1114,0.10194719450686605
C,0.3,5000,7,0.0011784569047261506,478.0,0.0956,0.10679671409307762
C,0.3,5000,8,0.007155037037777996,638.0,0.1276,0.11247238493910425
C,0.3,5000,9,0.01707041095541077,781.0,0.1562,0.11909902001358158
C,0.3,5000,10,0.021152097992911758,769.0,0.1538,0.12416555004622068
D,0.5,5000,1,-0.008519552835693861,155.0,0.031,0.07185604230825259
D,0.5,5000,2,-0.0001892504827753771,301.0,0.0602,0.08228512534625118
D,0.5,5000,3,0.0032656266959097415,375.0,0.075,0.08867989667510112
D,0.5,5000,4,-0.0014760564324528484,433.0,0.0866,0.09425749074402992
D,0.5,5000,5,-0.0006908334068857712,532.0,0.1064,0.09844058132751518
D,0.5,5000,6,0.0022510393625578226,548.0,0.1096,0.10194719450686605
D,0.5,5000,7,-0.0017000863620359916,467.0,0.0934,0.10679671409307762
D,0.5,5000,8,0.0028938949634592843,607.0,0.1214,0.11247238493910425
D,0.5,5000,9,0.014467873445925572,808.0,0.1616,0.11909902001358158
D,0.5,5000,10,0.018052048885127847,774.0,0.1548,0.12416555004622068
