scenario,alpha,p,K,U_j,k,status,runtime_seconds,reported_gap,distance_objective,penalised_objective,A_bar,A_bar_pct_change_vs_alpha0,absolute_mean_distance_m,D0_weighted_own_assignment_share,total_slack,slack_share_of_demand,n_lsoas_with_x_j_gt_0,maximum_x_j,assignment_sum_error,budget_error,maximum_capacity_violation
A,0.0,1000,13.167603884987075,150,40,Optimal,10.684389708098024,0.0,92102399.06667927,1392516197.2736921,2.014508260704595,,265.3095520926244,0.7899182449900094,164628.58177055,0.47422798682548367,133,10.0,1.4999999908837935e-08,0.0,4.935064922051424e-06
A,0.0,2000,13.167603884987075,150,40,Optimal,10.99961529194843,0.0,92102399.06667927,1288504283.6225557,2.0823067526656707,,265.3095520926244,0.7899182449900094,151460.97784690902,0.4362974754108451,276,10.0,1.4999999908837935e-08,0.0,4.935064922051424e-06
A,0.0,3500,13.167603884987075,150,40,Optimal,20.151764207985252,0.0,92102399.06667927,1132486413.6284957,2.189258752050287,,265.3095520926244,0.7899182449900094,131709.572022549,0.37940170846489574,506,10.0,1.4999999908837935e-08,0.0,4.935064922051424e-06
A,0.0,5000,13.167603884987075,150,40,Optimal,29.13836237497162,0.0,92102399.06667927,976468543.7318473,2.294772570237683,,265.3095520926244,0.7899182449900094,111958.166210521,0.3225059415544699,742,10.0,1.4999999908837935e-08,0.0,4.935064922051424e-06
A,0.0,6500,13.167603884987075,150,40,Optimal,53.45111712499056,0.0,92102399.06667927,820450673.8269682,2.4081376855884296,,265.3095520926244,0.7899182449900094,92206.760397451,0.2656101746410424,1011,11.0,1.4999999908837935e-08,0.0,4.935064922051424e-06
A,0.0,8000,13.167603884987075,150,40,Optimal,64.74063887493685,0.0,92102399.06667927,664432803.6347442,2.5183092988096223,,265.3095520926244,0.7899182449900094,72455.35454800399,0.20871440762282764,1292,11.0,1.4999999908837935e-08,0.0,4.935064922051424e-06
A,0.0,10000,13.167603884987075,150,40,Optimal,94.90049308305606,0.0,92102399.06667927,456408977.26025116,2.676227391437971,,265.3095520926244,0.7899182449900094,46120.1468181763,0.13285338513188852,1694,11.0,1.4999999908837935e-08,0.0,4.675324660752267e-06
C,0.3,1000,13.167603884987075,150,40,Optimal,12.820423458935693,0.0,96552395.19313909,1540172378.64227,2.0149130918872245,,258.7093558678327,0.7925511854214873,182758.06579301,0.49001777195150636,124,10.0,1.999999987845058e-08,0.0,5.000000001587068e-06
C,0.3,2000,13.167603884987075,150,40,Optimal,13.632040750002488,0.0,96552395.19313909,1436160465.4623528,2.081014539246082,,258.7093558678327,0.7925511854214873,169590.461929024,0.4547122992251844,262,10.0,1.999999987845058e-08,0.0,5.000000001587068e-06
C,0.3,3500,13.167603884987075,150,40,Optimal,20.965317792026326,0.0,96552395.19313909,1280142595.751072,2.1892456335822,,258.7093558678327,0.7925511854214873,149839.05614046298,0.4017540901555909,481,10.0,1.999999987845058e-08,0.0,4.9999999873762135e-06
C,0.3,5000,13.167603884987075,150,40,Optimal,28.88234183297027,0.0,96552395.19313909,1124124725.558074,2.2996701661621137,,258.7093558678327,0.7925511854214873,130087.65029091798,0.3487958809224848,707,11.0,1.999999987845058e-08,0.0,4.9999999873762135e-06
C,0.3,6500,13.167603884987075,150,40,Optimal,41.3522987079341,0.0,96552395.19313909,968106855.4950238,2.4109474568758356,,258.7093558678327,0.7925511854214873,110336.24445782401,0.29583767173348785,945,11.0,1.999999987845058e-08,0.0,4.9999999873762135e-06
C,0.3,8000,13.167603884987075,150,40,Optimal,55.825698834029026,0.0,96552395.19313909,812088985.4873459,2.523177117596559,,258.7093558678327,0.7925511854214873,90584.83863173999,0.2428794625632862,1199,11.0,1.999999987845058e-08,0.0,4.9999999873762135e-06
C,0.3,10000,13.167603884987075,150,40,Optimal,89.5681298749987,0.0,96552395.19313909,604065158.6913717,2.6760066018331794,,258.7093558678327,0.7925511854214873,64249.63084855401,0.17226851696260054,1576,11.0,1.999999987845058e-08,0.0,4.9999999873762135e-06
