scenario,alpha,p,K,U_j,k,status,runtime_seconds,reported_gap,distance_objective,penalised_objective,A_bar,A_bar_pct_change_vs_alpha0,absolute_mean_distance_m,D0_weighted_own_assignment_share,total_slack,slack_share_of_demand,n_lsoas_with_x_j_gt_0,maximum_x_j,assignment_sum_error,budget_error,maximum_capacity_violation
A,0.0,2000,13.167603884987075,150,40,Optimal,12.917089791968465,0.0,92102399.06667927,1288504283.6225557,2.0823067526656707,,265.3095520926244,0.7899182449900094,151460.97784690902,0.4362974754108451,276,10.0,1.4999999908837935e-08,0.0,4.935064922051424e-06
A,0.0,5000,13.167603884987075,150,40,Optimal,27.3307737079449,0.0,92102399.06667927,976468543.7318473,2.294772570237683,,265.3095520926244,0.7899182449900094,111958.166210521,0.3225059415544699,742,10.0,1.4999999908837935e-08,0.0,4.935064922051424e-06
A,0.0,8000,13.167603884987075,150,40,Optimal,61.063289124984294,0.0,92102399.06667927,664432803.6347442,2.5183092988096223,,265.3095520926244,0.7899182449900094,72455.35454800399,0.20871440762282764,1292,11.0,1.4999999908837935e-08,0.0,4.935064922051424e-06
B,0.1,2000,13.167603884987075,150,40,Optimal,14.267537625040859,0.0,93556755.77076519,1337474355.0127034,2.083101539450674,,262.96696341697077,0.7910666511671022,157476.32829256402,0.4426544797621173,270,10.0,1.1000000021965661e-08,0.0,5.000000001587068e-06
B,0.1,5000,13.167603884987075,150,40,Optimal,38.528895624913275,0.0,93556755.77076519,1025438614.9942275,2.2963028712450937,,262.96696341697077,0.7910666511671022,117973.51664000099,0.3316149557219071,736,11.0,1.1000000021965661e-08,0.0,4.9999999873762135e-06
B,0.1,8000,13.167603884987075,150,40,Optimal,58.23802504199557,0.0,93556755.77076519,713402875.0910707,2.5195619610128266,,262.96696341697077,0.7910666511671022,78470.70500203701,0.22057543172273378,1264,11.0,1.1000000021965661e-08,0.0,4.9999999873762135e-06
C,0.3,2000,13.167603884987075,150,40,Optimal,14.296887667034753,0.0,96552395.19313909,1436160465.4623528,2.081014539246082,,258.7093558678327,0.7925511854214873,169590.461929024,0.4547122992251844,262,10.0,1.999999987845058e-08,0.0,5.000000001587068e-06
C,0.3,5000,13.167603884987075,150,40,Optimal,26.154409583075903,0.0,96552395.19313909,1124124725.558074,2.2996701661621137,,258.7093558678327,0.7925511854214873,130087.65029091798,0.3487958809224848,707,11.0,1.999999987845058e-08,0.0,4.9999999873762135e-06
C,0.3,8000,13.167603884987075,150,40,Optimal,51.794194958987646,0.0,96552395.19313909,812088985.4873459,2.523177117596559,,258.7093558678327,0.7925511854214873,90584.83863173999,0.2428794625632862,1199,11.0,1.999999987845058e-08,0.0,4.9999999873762135e-06
D,0.5,2000,13.167603884987075,150,40,Optimal,10.435335124959238,0.0,100298861.23978798,1535684781.4241323,2.083543467653916,,256.62649722463203,0.7945954714345106,181715.657477011,0.4657349012665098,251,11.0,1.2999999965401798e-08,0.0,5.000000001587068e-06
D,0.5,5000,13.167603884987075,150,40,Optimal,24.359085375093855,0.0,100298863.7474391,1223649044.163216,2.2985652353165307,,256.6265033462617,0.7945954613013119,142212.84585608568,0.36448970134559094,666,13.0,1.2999999965401798e-08,0.0,5.000000001587068e-06
D,0.5,8000,13.167603884987075,150,40,Optimal,56.55271395808086,0.0,100299115.3023741,911613555.7267932,2.5214011211682847,,256.6315887573102,0.7945930933980526,102710.0342069557,0.2632445013523839,1122,13.0,1.2999999965401798e-08,0.0,5.000000001587068e-06
