lsoa_code,e_i,D_A,IMD_i,london_income_decile,scenario,alpha,p,x_j,A_i
E01000444,0,133.43961038961038,0.043,10,A,0.0,5000,10.0,1.4801047071458364
E01001445,0,132.68571428571428,0.493,1,A,0.0,5000,10.0,1.5296680281394077
E01002225,0,133.5652597402597,0.089,9,A,0.0,5000,10.0,1.6199789379764518
E01002226,0,144.24545454545455,0.225,6,A,0.0,5000,10.0,1.72801618678472
E01002228,0,140.6016233766234,0.226,6,A,0.0,5000,10.0,1.764778854962656
E01002270,0,133.313961038961,0.089,9,A,0.0,5000,10.0,1.5074375582018207
E01002473,0,132.5600649350649,0.123,9,A,0.0,5000,10.0,1.3164529693810572
E01002948,0,144.37110389610385,0.2,7,A,0.0,5000,10.0,1.3734294107734777
E01000099,0,121.125974025974,0.343,4,A,0.0,5000,9.0,1.7864669442998968
E01000335,1,138.05306014567455,0.269,5,A,0.0,5000,9.0,1.5961130317400718
E01000349,0,121.50292207792204,0.05,10,A,0.0,5000,9.0,1.6834445101682438
E01000375,0,119.11558441558438,0.206,7,A,0.0,5000,9.0,1.4109826598551416
E01000427,0,124.64415584415582,0.152,8,A,0.0,5000,9.0,1.7226462025567728
E01000710,0,129.0418831168831,0.142,8,A,0.0,5000,9.0,2.111925395547287
E01001068,0,123.638961038961,0.191,7,A,0.0,5000,9.0,1.459169731013835
E01001071,0,124.51850649350646,0.154,8,A,0.0,5000,9.0,1.3888316107509437
E01001072,0,121.25162337662336,0.055,10,A,0.0,5000,9.0,1.3572672739898752
E01001094,0,125.775,0.065,10,A,0.0,5000,9.0,1.6027461113594763
E01001107,0,120.12077922077918,0.089,9,A,0.0,5000,9.0,1.6268639337331539
E01001108,0,125.90064935064932,0.04,10,A,0.0,5000,9.0,1.6129811904130849
E01001417,0,144.37110389610385,0.056,10,B,0.1,5000,11.0,1.6467469782240167
E01000444,0,133.43961038961038,0.043,10,B,0.1,5000,10.0,1.4904039026415048
E01001422,0,144.24545454545452,0.034,10,B,0.1,5000,10.0,1.6339402128077194
E01001445,0,132.68571428571428,0.493,1,B,0.1,5000,10.0,1.5109074488945395
E01002269,0,131.3035714285714,0.11,9,B,0.1,5000,10.0,1.3998923191135373
E01002270,0,133.313961038961,0.089,9,B,0.1,5000,10.0,1.518405498922042
E01002276,0,129.41883116883116,0.314,4,B,0.1,5000,10.0,1.2578957138593918
E01002322,0,130.67532467532462,0.125,9,B,0.1,5000,10.0,1.6380873273389744
E01002334,0,130.54967532467535,0.112,9,B,0.1,5000,10.0,1.555465102021976
E01002473,0,132.5600649350649,0.123,9,B,0.1,5000,10.0,1.3090234234318276
E01002497,0,129.92142857142855,0.257,6,B,0.1,5000,10.0,1.7120359328500743
E01002526,1,142.10941558441556,0.279,5,B,0.1,5000,10.0,1.522213804701968
E01002559,0,128.66493506493504,0.363,3,B,0.1,5000,10.0,1.4447800410201885
