scenario,p,objective,M1_avg_dist_m,M2_coverage_800m,M3_imd_gap,M4_gini
A,100,505602016.0,1403.6573642328824,0.1794855605971118,0.0649252211384097,0.949875556410461
A,250,314279104.0,873.7736990080615,0.4416849867137598,0.1538337637652034,0.9311107352855851
A,500,215590448.0,600.0756498708648,0.75338065894906,0.09457409333036682,0.8875869962930428
B,100,504933504.0,1402.7720946130785,0.17894229120927727,0.03514625344200939,0.9501033997314111
B,250,314696576.0,875.3183291701595,0.44097506577046797,0.13634855576286065,0.9310728097714782
B,500,215602304.0,600.7806517819005,0.7537036839904752,0.08028116710236088,0.8875814607551893
C,100,506709312.0,1408.8950174873235,0.17765055811752753,0.05839009466325312,0.950137114344862
C,250,314808640.0,876.326170417873,0.4374203220192589,0.20858893264931355,0.9311904952248654
C,500,215184208.0,600.7928358802897,0.7532426391586372,0.19843984653876034,0.8874631574655851
D,100,505086848.0,1406.405568480006,0.17611875868818064,0.0822025747356516,0.9500961170097286
D,250,313349376.0,873.0200670070311,0.4434645610328285,0.17550687568278678,0.931187761211314
D,500,215173344.0,601.5515537420117,0.7536412814256563,0.22584555258506,0.8874687275263866
