country_co,party_id,Source,id,external_l,state,country,related_lo,coordinate,coordina_1,parking_ty,opening_ti,charging_w,energy_mix,last_updat,created_at,deleted_at,location_c,location_1
GB,ID_A3D2DE76,Custom,ID_D2F611DF,ID_DED0844A,Barking and Dagenham,England,,51.55,0.16,,,,,41:17.0,36:28.0,,On-Street,On-street
GB,ID_A3D2DE76,Custom,ID_F6239B35,ID_00705014,Barking and Dagenham,England,,51.54,0.13,,,,,41:17.0,03:53.0,,On-Street,On-street
GB,ID_A3D2DE76,Custom,ID_2CBB9184,ID_2CBB9184,Barking and Dagenham,England,,51.55,0.11,,,,,41:17.0,44:00.0,,Supermarket,Destination
GB,ID_A3D2DE76,Custom,ID_BFAE69B0,ID_BFAE69B0,Barking and Dagenham,England,,51.56,0.15,,,,,41:17.0,27:00.0,,Supermarket,Destination
GB,ID_A3D2DE76,Custom,ID_6FA7D962,ID_9EA02CBC,Barking and Dagenham,England,,51.54,0.15,,,,,41:17.0,02:00.0,,Supermarket,Destination
GB,ID_A3D2DE76,Custom,ID_689B314C,ID_689B314C,Barking and Dagenham,England,,51.53,0.07,,,,,41:17.0,30:00.0,,Accommodation,Destination
GB,ID_A3D2DE76,Custom,ID_7EE3212E,ID_7EE3212E,Barking and Dagenham,England,,51.53,0.1,,,,,30:02.0,40:00.0,,Education,Destination
GB,ID_A3D2DE76,Custom,ID_1DAF331A,ID_3C417EDC,Barking and Dagenham,England,,51.53,0.15,,,,,30:01.0,10:15.0,,Accommodation,Destination
GB,ID_A3D2DE76,Custom,ID_AAE1B858,ID_AAE1B858,Barking and Dagenham,England,,51.59,0.15,,,,,30:01.0,28:00.0,,Retail Car Park,Destination
GB,ID_A3D2DE76,Custom,ID_B799432F,ID_3C417EDC,Barking and Dagenham,England,,51.53,0.15,,,,,30:01.0,00:00.0,,Accommodation,Destination
GB,ID_A3D2DE76,Custom,ID_ECB2EC35,ID_ECB2EC35,Barking and Dagenham,England,,51.56,0.15,,,,,30:01.0,22:00.0,,Education,Destination
GB,ID_A3D2DE76,Custom,ID_269F1AB9,ID_269F1AB9,Barking and Dagenham,England,,51.57,0.13,,,,,30:01.0,07:00.0,,Retail Car Park,Destination
GB,ID_A3D2DE76,Custom,ID_E01E387E,ID_E01E387E,Barking and Dagenham,England,,51.53,0.17,,,,,30:01.0,00:00.0,,Education,Destination
GB,ID_A3D2DE76,Custom,ID_2C919B7F,ID_2C919B7F,Barking and Dagenham,England,,51.54,0.13,,,,,41:17.0,05:00.0,,On-Street,On-street
GB,ID_A3D2DE76,Custom,ID_B2DC7C57,ID_B2DC7C57,Barking and Dagenham,England,,51.56,0.16,,,,,30:01.0,25:00.0,,Education,Destination
GB,ID_0F87BF8E,OCPI,ID_A2B48B0A,ID_A7388207,Barking and Dagenham,England,,51.54,0.17,,"{""twentyfourseven"": true}",False,,30:01.0,07:17.0,,On-Street,On-street
GB,ID_2505EAEF,OCPI,ID_E3A4F116,ID_E41335E1,Barking and Dagenham,England,,51.54,0.1,,,True,,30:01.0,05:54.0,,On-Street,On-street
GB,ID_2505EAEF,OCPI,ID_106A382A,ID_EBE33196,Barking and Dagenham,England,,51.54,0.12,,,True,,30:01.0,02:17.0,,On-Street,On-street
GB,ID_2505EAEF,OCPI,ID_E4364F5E,ID_4932F28B,Barking and Dagenham,England,,51.53,0.11,,,True,,30:01.0,18:10.0,,On-Street,On-street
GB,ID_2505EAEF,OCPI,ID_F10804CB,ID_2AA5D7C0,Barking and Dagenham,England,,51.53,0.12,,,True,,05:01.0,31:48.0,,On-Street,On-street
GB,ID_2505EAEF,OCPI,ID_0BE844DB,ID_8C2F6074,Barking and Dagenham,England,,51.54,0.14,,,True,,30:01.0,56:03.0,,On-Street,On-street
GB,ID_2505EAEF,OCPI,ID_E65DC120,ID_E465B9FE,Barking and Dagenham,England,,51.56,0.15,,,True,,30:01.0,36:00.0,,On-Street,On-street
GB,ID_2505EAEF,OCPI,ID_31F922EE,ID_5B1D2276,Barking and Dagenham,England,,51.53,0.14,,,True,,30:01.0,13:00.0,,On-Street,On-street
GB,ID_2505EAEF,OCPI,ID_8A9A7398,ID_F4C0E9F3,Barking and Dagenham,England,,51.54,0.09,,,True,,30:01.0,03:00.0,,On-Street,On-street
GB,ID_2505EAEF,OCPI,ID_92AA3E76,ID_4032A157,Barking and Dagenham,England,,51.53,0.1,,,True,,30:01.0,26:00.0,,On-Street,On-street
GB,ID_2505EAEF,OCPI,ID_9D387060,ID_5BFD6E02,Barking and Dagenham,England,,51.57,0.14,,,True,,30:01.0,56:50.0,,On-Street,On-street
