location_id,evse_id
ID_CAF8A1DD,ID_3A2C7914
ID_CAF8A1DD,ID_6426399C
ID_CAF8A1DD,ID_5DCF9D7B
ID_8DB2C64C,ID_B9AA5FE4
ID_8DB2C64C,ID_D7D79268
ID_8DB2C64C,ID_3D12BB0D
ID_8DB2C64C,ID_43E3D6FA
ID_8DB2C64C,ID_4BF17A86
ID_8DB2C64C,ID_E600D8F3
ID_8DB2C64C,ID_2CC0BFD2
ID_8DB2C64C,ID_1CE7D57C
ID_0C17611F,ID_31DD02CD
ID_0C17611F,ID_266C24D0
ID_2F833437,ID_49AE84F5
ID_2F833437,ID_CBDEEDCE
ID_2F833437,ID_6658A468
ID_2F833437,ID_1E32BE6E
ID_2F833437,ID_22770765
ID_2F833437,ID_E9581FE4
ID_27FF7FD8,ID_49A20324
ID_27FF7FD8,ID_D451A5C8
ID_27FF7FD8,ID_0ECCBD41
ID_27FF7FD8,ID_EB42E5A1
ID_27FF7FD8,ID_B75CB25C
ID_27FF7FD8,ID_7FEEDED0
ID_F338C586,ID_902354C6
ID_F338C586,ID_52ED5EEA
ID_F338C586,ID_22AD00DD
ID_F338C586,ID_4C4181E2
ID_F338C586,ID_EC1D812F
ID_F338C586,ID_73E3DC7A
ID_F338C586,ID_E0BC00BA
ID_F338C586,ID_4EB7279A
ID_C8048B23,ID_779B6A60
ID_C8048B23,ID_F2E8ECC3
ID_52924943,ID_7D90DB6A
ID_52924943,ID_847C214D
ID_368B9E18,ID_06389010
ID_368B9E18,ID_ECE88409
ID_368B9E18,ID_F4CF6188
ID_0EB08D70,ID_F869500C
ID_0EB08D70,ID_F06E170E
ID_0EB08D70,ID_57A47466
ID_0EB08D70,ID_4FAFB471
ID_0EB08D70,ID_D1905549
ID_0EB08D70,ID_07BD7DAC
ID_0EB08D70,ID_9406A4DB
ID_0EB08D70,ID_5A61025E
ID_0EB08D70,ID_C760533D
ID_0EB08D70,ID_FB0B36B9
ID_65AE101B,ID_FB9CA26E
ID_65AE101B,ID_63B8CC75
ID_B39D53AB,ID_CFEFD292
ID_B39D53AB,ID_D7F6E791
ID_6A0F7F3B,ID_B976CACE
ID_6A0F7F3B,ID_56537424
ID_E017707D,ID_48D73E2B
ID_01CFDE31,ID_8C9A483E
ID_01CFDE31,ID_1F01F56A
ID_01CFDE31,ID_0C73141F
ID_01CFDE31,ID_690F84E0
ID_C37E94E8,ID_4D766648
ID_C37E94E8,ID_4E31EADC
ID_C37E94E8,ID_B3660170
ID_C37E94E8,ID_226D6BF8
ID_919E6ABB,ID_F506D531
ID_919E6ABB,ID_42E21357
ID_919E6ABB,ID_771E40C1
ID_919E6ABB,ID_FD5174CC
ID_919E6ABB,ID_EE6F303F
ID_5CC1276A,ID_58994A4F
ID_ECD9DE46,ID_642F9590
ID_ECD9DE46,ID_600FEAB0
ID_C92FD0DB,ID_A7A3A507
ID_9E1772F2,ID_74E361C9
ID_9E1772F2,ID_EF492BED
ID_9E1772F2,ID_ADF3297C
ID_9E1772F2,ID_376251A7
ID_9E1772F2,ID_E3C68800
ID_5A07FD49,ID_82B36AEC
ID_76183FB7,ID_3C3CA7DA
ID_76183FB7,ID_0C526563
ID_47EB81D4,ID_6E72DF08
ID_47EB81D4,ID_14162110
ID_47EB81D4,ID_6B6672D2
ID_47EB81D4,ID_8CA13202
ID_3D4E3055,ID_F01B0A84
ID_3D4E3055,ID_AF1A8B03
ID_3D4E3055,ID_A9D1D5B0
ID_3D4E3055,ID_7BC7FDBF
ID_5703EE0B,ID_4CD2552F
ID_5703EE0B,ID_660A37F9
ID_5703EE0B,ID_F5BC8849
ID_5703EE0B,ID_C70D11D5
ID_5703EE0B,ID_AC65979C
ID_5703EE0B,ID_A42680EA
ID_5703EE0B,ID_BB4B8440
ID_5703EE0B,ID_02EC2421
ID_AAE7A456,ID_7793818E
ID_AAE7A456,ID_544C68E5
