country_co,party_id,Source,id,external_l,name,address,city,postal_cod,state,country,related_lo,coordinate,coordina_1,parking_ty,directions,operator_n,operator_w,operator_l,suboperato,subopera_1,subopera_2,owner_name,owner_webs,owner_logo,opening_ti,charging_w,images,energy_mix,last_updat,created_at,deleted_at,location_c,location_1
GB,,Custom,3CBR1F9,3CBR1F9,16-18 Nuns Road,16-18 Nuns Road,Winchester,SO23 7EF,Hampshire,England,,51.0703,-1.3117,,,,,,,,,,,,,,,,30:01.0,31:00.0,,On-Street,On-street
GB,,Custom,K2WBULI,K2WBULI,7-8 King Alfred Terrace,7-8 King Alfred Terrace,Winchester,SO23 7DE,Hampshire,England,,51.0678,-1.3129,,,,,,,,,,,,,,,,30:01.0,04:00.0,,On-Street,On-street
GB,,Custom,412FYMG,ALFEN_ICU_21D0054,Barfield Park and Ride,Barfield Close,Winchester,SO23 9SQ,Hampshire,England,,51.05405,-1.30765,,,,,,,,,,,,,,,,05:01.0,49:59.0,,Car Park,Destination
GB,,Custom,AW9Z14P,AW9Z14P,Lainston House Hotel,Woodman Lane,Winchester,SO21 2LT,Hampshire,England,,51.082305,-1.37133,,,,,,,,,,,,,,,,30:01.0,00:00.0,,Accommodation,Destination
GB,,Custom,QDHF381,69d25076-74c4-5fef-b068-1317215c0621,Williams Garage,Main Road,Winchester,SO21 2EE,Hampshire,England,,51.008183,-1.342844,,,,,,,,,,,,,,,,41:17.0,48:00.0,,Fuel Forecourt,En-route
GB,,Custom,XOVPGYT,XOVPGYT,10 Arthur Road,10 Arthur Road,Winchester,SO23 7EA,Hampshire,England,,51.0709,-1.3127,,,,,,,,,,,,,,,,30:01.0,16:00.0,,On-Street,On-street
GB,,Custom,9TF0HWA,24FBCD3,Barfield Park and Ride,Barfield Close,Winchester,SO23 9PH,Hampshire,England,,51.05405,-1.30765,,,,,,,,,,,,,,,,41:17.0,02:00.0,,Park and Ride,Destination
GB,,Custom,R5OYUJ3,R5OYUJ3,Jubilee Village Hall,Little Shore Lane,Eastleigh,SO32 1ED,Hampshire,England,,50.9533,-1.21029,,,,,,,,,,,,,,,,30:01.0,58:00.0,,Public Services,Destination
GB,,Custom,NQLZP30,NQLZP30,Nettlebed Farm Holiday Lets,Nettlebed Farm,Eastleigh,SO32 2AB,Hampshire,England,,50.950386,-1.260205,,,,,,,,,,,,,,,,41:17.0,28:00.0,,Accommodation,Destination
GB,,Custom,O2QRI4H,O2QRI4H,Jolly Farmer Pub,26 Brassey Road,Winchester,SO22 6SB,Hampshire,England,,51.071073,-1.319719,,,,,,,,,,,,,,,,41:17.0,05:00.0,,Car Park,Destination
GB,,Custom,0SETGH6,0SETGH6,Fusion 1-3 Car Parks,Parkway,Fareham,PO15 7AA,Hampshire,England,,50.876741,-1.24723,,,,,,,,,,,,,,,,30:02.0,03:00.0,,Accommodation,Destination
GB,,Custom,M839RAD,M839RAD,The Crown Inn,The Square,Eastleigh,SO32 1AF,Hampshire,England,,50.953112,-1.21315,,,,,,,,,,,,,,,,30:02.0,53:00.0,,Accommodation,Destination
GB,,Custom,D2QGKWN,2F438BC,Jubilee Village Hall,Little Shore Lane,Eastleigh,SO32 1ED,Hampshire,England,,50.952941,-1.21004,,,,,,,,,,,,,,,,30:01.0,41:47.0,,Public Services,Destination
GB,,Custom,8GIAKET,8GIAKET,49 Hyde Abbey Road,49 Hyde Abbey Road,Winchester,SO23 7DA,Hampshire,England,,51.0663,-1.3138,,,,,,,,,,,,,,,,30:01.0,13:00.0,,On-Street,On-street
GB,,Custom,JHX6KK2,AP-17428961859698,Holden Farm Camping & Cafe,Holden Farm,Winchester,SO24 0NX,Hampshire,England,,51.037719,-1.201309,,,,,,,,,,,,,,,,30:01.0,06:01.0,,Accommodation,Destination
GB,,Custom,5S4N60Y,5S4N60Y,Saxon Road,20 Saxon Road,Winchester,SO23 7DJ,Hampshire,England,,51.0705,-1.3127,,,,,,,,,,,,,,,,30:01.0,29:00.0,,On-Street,On-street
GB,,Custom,5W314Z0,ALFEN_ICU_21D0058,South Winchester Park and Ride,Hockley Link,Winchester,SO21 2FG,Hampshire,England,,51.031971,-1.32926,,,,,,,,,,,,,,,,41:17.0,49:58.0,,Park and Ride,Destination
GB,,Custom,9MDAUXJ,9f590a2d-83a2-5e7b-805a-faa6ceb4dde7,Gattaca PLC,1450 Parkway,Fareham,PO15 7AF,Hampshire,England,,50.87558,-1.23407,,,,,,,,,,,,,,,,30:01.0,52:00.0,,On-Street,On-street
GB,,Custom,E5WM3UT,E5WM3UT,Solent Hotel & Spa,Whiteley Way,Fareham,PO15 7BS,Hampshire,England,,50.879435,-1.248189,,,,,,,,,,,,,,,,41:17.0,19:00.0,,Accommodation,Destination
GB,,Custom,42HHUBU,A1C5A8D,Durley Memorial Hall,Durley Brook Road,Southampton,SO32 2AR,Hampshire,England,,50.947036,-1.267628,,,,,,,,,,,,,,,,41:17.0,00:41.0,,Public Services,Destination
